pc_index_1based_full,eigenvalue,explained_variance_ratio,explained_variance_ratio_percent,kept_nonzero
1,33.276548823089044,0.14323115634427935,14.323115634427936,True
2,18.993376531507604,0.08175256688886388,8.175256688886389,True
3,13.545194736908474,0.05830213690097895,5.830213690097895,True
4,11.331805194940767,0.048775116980078984,4.877511698007899,True
5,9.45438705933399,0.040694207750751124,4.069420775075113,True
6,7.286404531681817,0.03136263175046718,3.1362631750467185,True
7,6.841401450017579,0.029447219599333545,2.9447219599333545,True
8,5.894338989064857,0.025370809748850587,2.5370809748850585,True
9,5.4895726777211715,0.023628587406888897,2.36285874068889,True
10,4.832061176185845,0.020798482242580997,2.0798482242581,True
11,4.383314666606854,0.01886695737760278,1.886695737760278,True
12,3.702816177625989,0.015937910078093306,1.5937910078093305,True
13,3.6372389055710395,0.015655647979452337,1.5655647979452336,True
14,3.320519093480101,0.01429240129290136,1.429240129290136,True
15,3.0995750706419116,0.013341399190889116,1.3341399190889116,True
16,2.9944844126721613,0.012889060922818947,1.2889060922818947,True
17,2.835193416915173,0.012203429920673841,1.220342992067384,True
18,2.811988572614195,0.012103550071363508,1.210355007136351,True
19,2.642787236139327,0.011375262315108048,1.1375262315108048,True
20,2.5174618342412147,0.01083582830322749,1.083582830322749,True
21,2.355795283146291,0.010139972276251194,1.0139972276251195,True
22,2.3276533586627237,0.010018841914837696,1.0018841914837695,True
23,2.2519267539731596,0.009692894377027327,0.9692894377027327,True
24,2.1409276566935853,0.0092151246076607,0.92151246076607,True
25,2.0619953390939854,0.008875378825042756,0.8875378825042756,True
26,2.0190904580673434,0.008690704754575576,0.8690704754575576,True
27,1.938381789063368,0.008343313080940655,0.8343313080940655,True
28,1.9355425295858428,0.00833109214960882,0.833109214960882,True
29,1.8456280608235607,0.007944076254379703,0.7944076254379703,True
30,1.7954555031501611,0.007728120161982139,0.7728120161982139,True
31,1.7669514553930887,0.007605431125254109,0.760543112525411,True
32,1.7130806714526785,0.007373556878979988,0.7373556878979988,True
33,1.5941900888196798,0.006861820048351867,0.6861820048351867,True
34,1.580582615961668,0.006803249849779349,0.6803249849779349,True
35,1.49915077242777,0.006452745439763313,0.6452745439763313,True
36,1.4487161870049226,0.006235661509928422,0.6235661509928423,True
37,1.4348816047509763,0.006176113771840935,0.6176113771840935,True
38,1.4046655562384334,0.0060460558264808254,0.6046055826480825,True
39,1.3819623178331806,0.005948335022955433,0.5948335022955432,True
40,1.318496380950985,0.0056751606749652775,0.5675160674965277,True
41,1.2769491345747037,0.005496330226740839,0.5496330226740839,True
42,1.255720404848894,0.005404956102503587,0.5404956102503587,True
43,1.2052848950466335,0.005187868193892744,0.5187868193892744,True
44,1.155571006972621,0.00497388633798976,0.49738863379897597,True
45,1.1359518750886102,0.004889440352886039,0.4889440352886039,True
46,1.1263267668504144,0.0048480113155713565,0.48480113155713567,True
47,1.1013439278573889,0.004740478502094882,0.47404785020948825,True
48,1.072255482517128,0.004615274062040328,0.46152740620403276,True
49,1.0562361022533222,0.004546322369624689,0.45463223696246885,True
50,1.0296691782332121,0.004431971230985253,0.4431971230985253,True
51,0.9645910051163866,0.0041518573875139455,0.41518573875139453,True
52,0.9382035888706446,0.004038278898292941,0.40382788982929413,True
