descriptor,r2,rmse
A_malt_all,0.2594798803329468,0.758830026431565
A_malt_grain,0.01578986644744873,0.5466800069586559
A_malt_bread,0.08463472127914429,0.4527774991026153
A_malt_cara,0.26787811517715454,0.5972274289039736
A_malt_burn,0.06550675630569458,0.8963775238652699
A_hops_all,0.21001529693603516,0.5220871488437325
A_hops_citrus,0.103610098361969,0.5120654496850964
A_hops_tropical,-0.12021863460540771,0.40841588950392943
A_hops_noble,0.05154871940612793,0.5055907430938407
A_hops_woody,0.09490883350372314,0.3731672282580304
A_esters_all,-0.022888898849487305,0.6781599923523622
A_esters_ethac,-0.05595970153808594,0.5088263148400504
A_esters_isoaa,-0.008494853973388672,0.5396983777635871
A_esters_flower,0.03335601091384888,0.4252652182213559
A_esters_fruity,0.06628483533859253,0.5550721674900764
F_malt_all,0.38710302114486694,0.6164907796360514
F_malt_grain,-0.059237003326416016,0.47807375689397125
F_malt_bread,0.09705430269241333,0.4034667222707237
F_malt_cara,0.03634202480316162,0.5345736764475159
F_malt_burn,0.2813962697982788,0.7405598913618933
F_hops_all,0.39845579862594604,0.49073717086354585
F_hops_citrus,0.0695905089378357,0.3920722662951246
F_hops_tropical,-0.16648101806640625,0.3945626727894937
F_hops_noble,0.019616007804870605,0.5053954187703339
F_hops_woody,0.18732279539108276,0.47533493154590567
F_esters_all,0.0406116247177124,0.5920350253401848
F_esters_ethac,0.11441546678543091,0.4310852205898983
F_esters_isoaa,-0.0419774055480957,0.6372330583540499
F_esters_flower,-0.0647134780883789,0.38160042682829765
F_esters_fruity,-0.06637203693389893,0.5687770292126441
acidity,0.7114630937576294,0.5090280216968757
bitternes,0.5647158622741699,0.4571555856971991
sweetness,0.20083308219909668,0.5809517649047817
X4vg,0.26772522926330566,0.7104026962726349
diacetyl,0.04169881343841553,0.6158949197327688
dms,0.08120542764663696,0.4564840513349329
metallic,0.18200284242630005,0.46573300613098234
stale_hops,0.12582999467849731,0.3700057896277092
t2n,0.011424839496612549,0.4363318413257711
orange,0.12193787097930908,0.8246119135497253
coriander,0.26358747482299805,0.29490373568298256
clove,0.2193346619606018,0.3204502763077962
lactic,0.5598276257514954,0.5445169017329841
acetic,0.5929633378982544,0.43119932720077875
barnyard,0.09939885139465332,0.3776175814470971
alcohol,0.6849095225334167,0.38971640775599314
aftertaste,0.4136316776275635,0.501977051635939
body,0.5300412178039551,0.4256746351118065
co2,0.29904311895370483,0.5221409753771493
overall,0.019471943378448486,0.5633593194326972
