feature,ks_stat,p_value
beta.cyclohomocitral,0.3825,7.872793294159981e-18
E.cinnamaldehyde,0.415,5.172471424333824e-21
n.decanol,0.51,4.6290512300500326e-32
neryl.formate,0.1925,9.352916216802442e-05
X4.ethyl.guaiacol,0.2475,1.3155963975113665e-07
X2.undecanone,0.4125,9.30947515015197e-21
trans.dihydro.alpha.terpinyl.acetate,0.2375,4.926809132735795e-07
terpinen.4.ol.acetate,0.25,9.373679355591923e-08
X2.undecanol,0.32,1.6375240283189414e-12
delta.terpinyl.acetate,0.42,1.5774841670052679e-21
X.E.E..2.4.decadienal,0.455,2.4417442999961203e-25
methyl.geranate,0.185,0.00020094686161401939
car.3.en.2.one,0.3975,2.908168594274451e-19
dimethoxy..E..citral,0.43,1.3971797968015688e-22
X2.butyloctanoate,0.3825,7.872793294159981e-18
X4.methoxysalicylaldehyde,0.4625,3.348313960584187e-26
ethyl.hydrocinnamate,0.365,3.0901061794394883e-16
eugenol,0.5425,1.7699675404395438e-36
gamma.nonalactone,0.56,5.30931362624084e-39
methyl.para.anisate,0.43,1.3971797968015688e-22
X.E..beta.damascenone,0.5075,9.800781310234099e-32
ethyl..9..decenoate,0.3825,7.872793294159981e-18
vanillin,0.4475,1.7140653236337424e-24
geosmin,0.25,9.373679355591923e-08
dodecanal,0.44,1.1586535699306233e-23
X4.8.alpha.epoxy.caryophyllane,0.4375,2.1725787602820942e-23
E.caryophyllene,0.5925,5.743520943967481e-44
X.E..alpha.ionone,0.2625,1.631660725767663e-08
perillyl.acetate,0.145,0.007041594267935141
beta.humulene,0.3275,4.2692017312252843e-13
X2.phenyl.ethyl.butyrate,0.33,2.7069886059800647e-13
X.Z..beta.farnesene,0.345,1.6256089732179386e-14
pentyl.octanoate,0.455,2.4417442999961203e-25
X.E..beta.farnesene,0.4725,2.230110088045613e-27
X2.methylbutyl.octanoate,0.43,1.3971797968015688e-22
alpha.humulene,0.6225,6.847153106979843e-49
neryl.propanoate,0.3475,1.0038973940978993e-14
X9.epi..E..caryophyllene,0.4125,9.30947515015197e-21
ethyl..E..cinnamate,0.3775,2.2906981014017542e-17
linalool.isovalerate,0.335,1.0761614686706765e-13
alpha.terpinyl.isobutanoate,0.4575,1.2645074638258938e-25
n.dodecanol,0.455,2.4417442999961203e-25
germacrene.D,0.2625,1.631660725767663e-08
X.E..beta.ionone,0.205,2.4395828839507186e-05
valencene,0.3725,6.561871032713085e-17
neryl.isobutanoate,0.4525,4.695052729300754e-25
E.methyl.isoeugenol,0.2725,3.777560160336705e-09
X.Z..dihydro.apofarnesal,0.4,1.6551869944948066e-19
butylated.hydroxytoluene,0.245,1.839892503683708e-07
X.E..dihydro.apofarnesal,0.31,9.333163655042091e-12
Z.nerolidol,0.45,8.989752509646755e-25
X.E..ortho.methoxy.cinnamaldehyde,0.3075,1.4287974061378973e-11
alpha.calacorene,0.32,1.6375240283189414e-12
E.nerolidol,0.4375,2.1725787602820942e-23
dihydroisocaryophyllene.epoxide,0.41,1.6687787389791512e-20
caryophyllene.alcohol,0.4225,8.658641148527635e-22
neryl.isovalerate,0.4075,2.9793621192972874e-20
spathulenol,0.28,1.214004316129806e-09
caryophyllene.oxide,0.3925,8.871297583414431e-19
humulene.epoxide.II,0.46,6.520765629420035e-26
alloaromadendrene.epoxide,0.47,4.418291595499353e-27
X1.10.di.epi.cubenol,0.3775,2.2906981014017542e-17
isopropyl.laurate,0.46,6.520765629420035e-26
caryophylla.4.12..8.13..dien.5.alpha.ol,0.3225,1.0500119566085802e-12
gamma.eudesmol,0.2725,3.777560160336705e-09
alpha.muurolol,0.4725,2.230110088045613e-27
X1.2.dihydro.8.hydroxy..2E..linalool,0.4525,4.695052729300754e-25
tau.cadinol,0.215,7.820358278708043e-06
selin.11.en.4.alpha.ol,0.2025,3.214080470404362e-05
alpha.eudesmol,0.3,5.0141468449795066e-11
X14.hydroxy.9.epi..E..caryophyllene,0.42,1.5774841670052679e-21
tau.muurolol,0.44,1.1586535699306233e-23
n.tetradecanol,0.4525,4.695052729300754e-25
foeniculin,0.35,6.176057267364492e-15
cadalene,0.4925,8.030852946398541e-30
X2.3.dihydro.farnesol,0.5525,6.590830573402916e-38
X2E.6Z.farnesal,0.405,5.297893899383846e-20
caryophyllene.acetate,0.28,1.214004316129806e-09
X14.hydroxy.alpha.humulene,0.3,5.0141468449795066e-11
X2Z.6E.farnesal,0.39,1.5402477576918038e-18
X2Z.6Z.farnesol,0.28,1.214004316129806e-09
X2Z.6E.farnesol,0.4775,5.608264847321814e-28
ambroxide,0.39,1.5402477576918038e-18
benzyl.benzoate,0.365,3.0901061794394883e-16
X2E.6E.methyl.farnesoate,0.3,5.0141468449795066e-11
ethyl.tetradecanoate,0.455,2.4417442999961203e-25
X2.ethylhexylsalicylate,0.2475,1.3155963975113665e-07
isopropyl.tetradecanoate,0.48,2.794130891168041e-28
ethyl.pentadecanoate,0.4425,6.1535403542660076e-24
methyl.hexadecanoate,0.35,6.176057267364492e-15
Z.Z.geranyl.linalool,0.4525,4.695052729300754e-25
