target,pc_index_1based_kept,pc_index_1based_full,eigenvalue,evr,coef,intercept,train_rmse,train_r2,test_rmse,test_r2
A_esters_all,4,4,11.331805194940767,0.048775116980078984,0.027028337575280507,0.07130175953714285,0.5786632861815995,0.02399113921920537,0.6027593524298456,0.0892124476379581
A_esters_all,109,109,0.22031063953247068,0.0009482758510488532,0.02878510477827041,0.07130175953714288,0.5855771747148697,0.0005290347531117234,0.6149917672245853,0.05187024699006315
A_esters_all,19,19,2.642787236139327,0.011375262315108048,0.011051071256870283,0.07130175953714288,0.5854581289244546,0.0009353713447594059,0.6168045056454206,0.046272629773847385
A_esters_all,82,82,0.46528172948362084,0.0020026968690204086,-0.05070673363696322,0.07130175953714288,0.5847158679955365,0.0034670521354782657,0.6179157082908202,0.04283316396887982
A_esters_all,145,145,0.05839559224245817,0.00025135023006030225,0.0551157500313301,0.07130175953714286,0.585581550775498,0.0005140964595046205,0.6190055175021167,0.039453903345470276
A_esters_all,16,16,2.9944844126721613,0.012889060922818947,-0.0228326593223211,0.07130175953714285,0.5844056254221284,0.004524266222474149,0.6190611099587023,0.03928136363932655
A_esters_all,8,8,5.894338989064857,0.025370809748850587,0.009153468330901221,0.07130175953714286,0.5853128129537569,0.0014312634389492818,0.6191687480912852,0.03894724815895889
A_esters_all,101,101,0.27425084803589356,0.0011804489191897458,0.04224126538436754,0.07130175953714286,0.5853166439708897,0.0014181916374346182,0.6195203066500884,0.03785558376157916
A_esters_all,46,46,1.1263267668504144,0.0048480113155713565,0.01973741324657319,0.07130175953714288,0.5853595981877556,0.001271621831546721,0.6200452365286362,0.03622441100318463
A_esters_all,76,76,0.5379049081433639,0.0023152864320827534,0.007413221175366538,0.07130175953714286,0.5857070409484494,8.567074118748241e-05,0.6203379900958692,0.03531410532498902
A_esters_all,111,111,0.2147939504540835,0.0009245305474090419,0.029211770102608708,0.07130175953714285,0.5855765429886778,0.000531191229400263,0.6207349631320125,0.0340790469321004
A_esters_all,21,21,2.355795283146291,0.010139972276251194,0.014914575674056125,0.07130175953714286,0.5852871863736624,0.0015187016119861951,0.6222012686827854,0.02951024324271012
A_esters_all,70,70,0.6176096514738066,0.002658356941408592,-0.0674572594486432,0.07130175953714289,0.5833418962817492,0.008144877612938028,0.6222455732799487,0.029372028517922977
A_esters_all,97,97,0.3149723405638439,0.0013557251022414056,-0.019407986480047996,0.07130175953714285,0.5856314261128156,0.000343832149010459,0.6227844898569944,0.027690010854298897
A_esters_all,83,83,0.45547229144159773,0.001960474426984242,0.056490195114403265,0.07130175953714286,0.5844971844877694,0.004212318616440225,0.6235334734161103,0.02534993297906396
A_esters_ethac,112,112,0.2049420656064698,0.0008821254029814654,0.017171861189716954,-0.002849891348571438,0.5130309644157719,0.0002282394732650017,0.4555812963120435,0.018449723388635153
A_esters_ethac,27,27,1.938381789063368,0.008343313080940655,-0.01805026161194975,-0.0028498913485714376,0.5124772364453453,0.002385235318591805,0.4558288208545571,0.017382849982954474
A_esters_ethac,55,55,0.9084065093222412,0.003910024307286826,-0.006514923790415381,-0.002849891348571437,0.5130521617492699,0.00014562093865821968,0.45627952649775677,0.015438742804462113
A_esters_ethac,65,65,0.688020226856627,0.0029614228688448502,0.005850772252961024,-0.0028498913485714384,0.5130667008902096,8.895134129949245e-05,0.4565253701057004,0.014377492910663259
A_esters_ethac,30,30,1.7954555031501611,0.007728120161982139,-0.004917933283886025,-0.002849891348571436,0.5130474443003346,0.00016400792011039833,0.4565696720723113,0.014186190797258025
A_esters_ethac,76,76,0.5379049081433639,0.0023152864320827534,-0.0026620055098337254,-0.0028498913485714363,0.5130858281115102,1.4396214736644986e-05,0.4570011596651413,0.012321995898618932
