tasting_category_fine,fold_train,fold_val,outer_test
Blond,18,4,9
Tripel,17,3,8
Strong ale,12,1,5
Hoppy,10,2,5
Stout/Porter,9,0,4
Wheat,8,0,4
Pils/Lager,8,0,3
Brown,8,0,4
Lambic,8,0,3
Amber,8,0,4
Dubbel,7,0,3
Saison,7,0,3
Kriek,5,2,3
Christmas,5,1,3
Fruitbeer,5,1,2
Low/No alcohol,5,1,2
West Flanders ale,5,0,2
Scotch,3,0,2
Flanders old brown,3,0,2
Brett/cofermented,3,1,2
Brut,2,1,1
Faro,1,1,1
