pc_index_1based_full,eigenvalue,explained_variance_ratio,explained_variance_ratio_percent,kept_nonzero
1,37.225958399296225,0.16023047029010618,16.023047029010616,True
2,18.209286307982467,0.07837763308816201,7.837763308816201,True
3,14.314273796184967,0.06161245864035087,6.161245864035087,True
4,10.609844190040695,0.04566760393486904,4.566760393486904,True
5,9.617853492869061,0.04139781095260894,4.139781095260894,True
6,7.853989242762629,0.03380566798369072,3.3805667983690717,True
7,7.409171708743534,0.031891054479192944,3.1891054479192946,True
8,6.234157122691706,0.026833477782272276,2.6833477782272275,True
9,6.028806016219182,0.025949591758123378,2.594959175812338,True
10,4.771038955830808,0.02053582630339049,2.053582630339049,True
11,4.378862326296681,0.018847793315414283,1.8847793315414283,True
12,3.7583877833401806,0.01617710511567573,1.617710511567573,True
13,3.4338453806952347,0.014780187909485982,1.4780187909485982,True
14,3.1257436935844454,0.013454035935279987,1.3454035935279987,True
15,2.975095985109046,0.012805607950747654,1.2805607950747655,True
16,2.89602055172079,0.01246524615954032,1.246524615954032,True
17,2.8262040696049358,0.012164737368243878,1.2164737368243879,True
18,2.6872914793726994,0.011566820467800857,1.1566820467800858,True
19,2.5394483991645407,0.010930464352619173,1.0930464352619174,True
20,2.419868284285228,0.01041575959098651,1.041575959098651,True
21,2.2532970243526935,0.00969879238682421,0.9698792386824209,True
22,2.2328227412775505,0.009610665602530459,0.9610665602530458,True
23,2.2075088874491278,0.009501708012768045,0.9501708012768044,True
24,2.015913868954277,0.008677031866370912,0.8677031866370912,True
25,1.9982839038866864,0.008601147786673678,0.8601147786673677,True
26,1.943474805185595,0.008365234782988088,0.8365234782988088,True
27,1.8039517903245192,0.007764690451860639,0.7764690451860639,True
28,1.7484874553038154,0.00752595713600158,0.752595713600158,True
29,1.7151525516426287,0.0073824748048439675,0.7382474804843967,True
30,1.6794923499327088,0.0072289837696547015,0.7228983769654701,True
31,1.649616666478441,0.007100390846437816,0.7100390846437816,True
32,1.6103622993951614,0.006931429563259321,0.6931429563259321,True
33,1.5707037017164538,0.006760728363603289,0.6760728363603289,True
34,1.481222859842445,0.00637557891434967,0.637557891434967,True
35,1.4501222172214334,0.006241713439617301,0.6241713439617301,True
36,1.3686187511808177,0.005890900747197582,0.5890900747197582,True
37,1.3612672516522646,0.00585925792918971,0.585925792918971,True
38,1.3346094794659875,0.005744515755771968,0.5744515755771968,True
39,1.2905165112981252,0.005554727840837941,0.5554727840837941,True
40,1.2543699979373046,0.005399143590379493,0.5399143590379493,True
41,1.228742631579934,0.005288836558934038,0.5288836558934038,True
42,1.1909141050244323,0.005126012474316666,0.5126012474316666,True
43,1.150082179637114,0.004950260958734887,0.4950260958734887,True
44,1.1087559849434767,0.004772381976009027,0.4772381976009027,True
45,1.066466845217543,0.004590358220602411,0.45903582206024107,True
46,1.0443127103592587,0.004495000905442449,0.4495000905442449,True
47,1.0290348676476637,0.004429240988761744,0.44292409887617434,True
48,1.0066686315023086,0.004332970732996949,0.4332970732996949,True
49,0.9892156020070898,0.004257848231273559,0.42578482312735594,True
50,0.961222511238865,0.004137358489933519,0.4137358489933519,True
51,0.9452056721651322,0.004068417735478861,0.40684177354788614,True
52,0.9048682749492377,0.0038947948012657352,0.3894794801265735,True
53,0.8665932473960813,0.003730048857066621,0.37300488570666207,True
54,0.8582433400537839,0.0036941086250923535,0.3694108625092353,True
55,0.8412845044834573,0.0036211132660512444,0.36211132660512446,True
56,0.8144464990304309,0.0035055953205020396,0.35055953205020396,True
57,0.8103551516398588,0.00348798506828288,0.348798506828288,True
58,0.7862724289543569,0.00338432659587033,0.338432659587033,True
59,0.7703056027752294,0.00331560111027557,0.331560111027557,True
60,0.7477328776474413,0.003218442070764497,0.3218442070764497,True
61,0.7355067519711223,0.003165817559504645,0.3165817559504645,True
62,0.7136765995167904,0.0030718547511668897,0.307185475116689,True
63,0.7102065888161567,0.003056918898058411,0.3056918898058411,True
64,0.6738659736645533,0.0029004991816359246,0.29004991816359244,True
65,0.659772430651671,0.0028398368072576562,0.28398368072576563,True
66,0.6462520919114838,0.0027816416572071286,0.27816416572071284,True
67,0.6254191415735135,0.0026919710731921173,0.26919710731921176,True
68,0.6134292738492729,0.002640363479277019,0.26403634792770186,True
69,0.606957184362173,0.0026125058770319876,0.26125058770319876,True
70,0.5929038563807772,0.002552016598893141,0.2552016598893141,True
71,0.5756250661239688,0.0024776440694018694,0.24776440694018695,True
72,0.5679908206113992,0.002444784237139974,0.24447842371399742,True
73,0.557077310085019,0.0023978095721655735,0.23978095721655734,True
74,0.5551937078367822,0.0023897020448633297,0.23897020448633297,True
75,0.5284478961862371,0.0022745809260706308,0.22745809260706307,True
76,0.5164449964526243,0.0022229172389055443,0.22229172389055443,True
77,0.5008957790683053,0.002155989253132594,0.2155989253132594,True
78,0.47818314682911356,0.0020582280160362587,0.20582280160362587,True
79,0.47058861006251007,0.0020255391008256463,0.20255391008256463,True
80,0.46111464173769307,0.0019847606100768978,0.19847606100768977,True
81,0.453910477105359,0.0019537519608245507,0.19537519608245507,True
82,0.44020323243275566,0.0018947523177068517,0.18947523177068518,True
83,0.4317298080234369,0.0018582804352771309,0.1858280435277131,True
84,0.4293991995981894,0.0018482488739662325,0.18482488739662326,True
85,0.42020891410823724,0.0018086914299278484,0.18086914299278484,True
86,0.40027778426620736,0.001722902522259,0.1722902522259,True
87,0.3881852128784003,0.0016708528643374558,0.16708528643374557,True
88,0.379529305576378,0.0016335955267851518,0.16335955267851518,True
89,0.3732103703821285,0.0016063971415334658,0.16063971415334657,True
