mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__loss,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.251196527481079,0.02056906122349159,0.006483030319213867,0.0009500355610234752,0.02,squared_error,6,200,0.2,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 0.2}",0.3210181398272579,0.1486966324783522,-0.13980185506236098,0.24421546517034942,0.29426698365126824,0.17367907321297335,0.1674037287651811,196,0.8055401348070849,0.8294839187011909,0.8191499719616312,0.8179941804771181,0.7971246772652651,0.813858576642458,0.011300205846690859
2.6098278999328612,0.06454733187157177,0.010915708541870118,0.006066305541384257,0.02,squared_error,6,200,0.4,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 0.4}",0.4300897657973063,0.18013636120514565,-0.123978323330447,0.25644987522537455,0.3240451716422065,0.2133485701079172,0.1876063377713633,72,0.9575262472109929,0.9651357593250343,0.9601875694031065,0.9589894954281001,0.9586200054199701,0.9600918153574408,0.002661353536011754
4.0306014060974125,0.06051227476981939,0.008942270278930664,0.0024738928376147797,0.02,squared_error,6,200,0.6000000000000001,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 0.6000000000000001}",0.40574151061493546,0.08319531481167985,-0.25529257434269237,0.3195107569800737,0.397267460080054,0.19008449362881014,0.2513841353113019,158,0.9899973375606202,0.9908219242399218,0.9906129304261816,0.9892151021690271,0.9902012769305447,0.990169714265259,0.0005592517502461517
6.129460620880127,0.22052331682854673,0.01149749755859375,0.004876296426225148,0.02,squared_error,6,200,0.8,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.4396146608400535,-0.09346687934042319,-0.29453764505657265,0.39788001492349534,0.33340869187456557,0.1565797686482237,0.2951722460726949,240,0.9971108535705056,0.9977519901878917,0.997512226105775,0.9969032364344332,0.997354873687494,0.99732663599722,0.0002973201939035595
4.144117403030395,0.16517326982706781,0.009626817703247071,0.0017701923017820291,0.02,squared_error,6,500,0.2,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 6, 'model__n_estimators': 500, 'model__subsample': 0.2}",0.3367052191539559,0.18804889334035646,-0.18459620175573943,0.23409586840167274,0.2905394963083109,0.1729586550897113,0.18571437276651667,199,0.9649172903119805,0.9674025871317558,0.9683000255245141,0.967660242729177,0.964926688942949,0.9666413669280752,0.0014339646583472012
7.855191087722778,0.3111473781973016,0.008332204818725587,0.000637842760624981,0.02,squared_error,6,500,0.4,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 6, 'model__n_estimators': 500, 'model__subsample': 0.4}",0.4397988470314965,0.1908657312861115,-0.15205984156232732,0.2463903406650284,0.32989525549672527,0.21097806658340684,0.19997765141209753,86,0.9990392861293771,0.9991958076026691,0.9990346766701459,0.9991475173964666,0.9991498929185301,0.9991134361434378,6.477185310373537e-05
12.37063283920288,0.2567627829054144,0.014718294143676758,0.004194450246692,0.02,squared_error,6,500,0.6000000000000001,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 6, 'model__n_estimators': 500, 'model__subsample': 0.6000000000000001}",0.3988471317435496,0.08492876053075515,-0.31081039499274987,0.32700351227705504,0.39690915389311454,0.1793756326903449,0.27073422981635203,182,0.9999708127860512,0.9999754149245383,0.999968576662671,0.9999747058037093,0.9999795491356335,0.9999738118625207,3.8127947384506134e-06
16.202921199798585,0.39309333320434875,0.010535955429077148,0.0012965706166238621,0.02,squared_error,6,500,0.8,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 6, 'model__n_estimators': 500, 'model__subsample': 0.8}",0.4410121882620712,-0.09045792359633387,-0.317976539142637,0.40053052351107876,0.33568973912945566,0.15375959763272695,0.30288139509786993,252,0.9999987557566312,0.9999990655998162,0.9999990694970244,0.9999989859321253,0.9999991547798801,0.9999990063130955,1.3619356519236673e-07
8.475427913665772,0.3469929057518171,0.009732961654663086,0.0007396907118555615,0.02,squared_error,6,1000,0.2,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 6, 'model__n_estimators': 1000, 'model__subsample': 0.2}",0.3089048722832374,0.1913213495376318,-0.22060434520967243,0.2519919579158233,0.2859390578819708,0.16351057848179817,0.1960994142439135,224,0.997369190013764,0.9975846720361021,0.9978567650547161,0.9977274869017488,0.9974804114017711,0.9976037050816204,0.00017316015381239978
15.995578479766845,0.8015232650778987,0.012156295776367187,0.002935139482219284,0.02,squared_error,6,1000,0.4,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 6, 'model__n_estimators': 1000, 'model__subsample': 0.4}",0.4385998087661911,0.1933406380076942,-0.15138124048812984,0.2461318803769208,0.3315664478760372,0.2116515069077427,0.1996006435561304,81,0.9999979456906513,0.9999974000654359,0.9999972852773068,0.9999980192781635,0.9999980383509048,0.9999977377324925,3.2607383416352124e-07
24.296105766296385,0.3458054078944184,0.013256406784057618,0.0018686532632024267,0.02,squared_error,6,1000,0.6000000000000001,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 6, 'model__n_estimators': 1000, 'model__subsample': 0.6000000000000001}",0.3987179035948504,0.08515313615409059,-0.31121569499875035,0.32659329374289414,0.3967896646423448,0.1792076606270859,0.27078054634894194,183,0.9999999981323979,0.999999997908738,0.999999997058793,0.9999999976401366,0.9999999987899155,0.9999999979059961,5.693879402064534e-10
36.47517261505127,0.7414660279768226,0.020978498458862304,0.004105487147033763,0.02,squared_error,6,1000,0.8,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 6, 'model__n_estimators': 1000, 'model__subsample': 0.8}",0.4409565017828223,-0.09044362195288835,-0.3181853340241667,0.4005088266731648,0.3357005275882702,0.15370738001344045,0.3029313331822078,253,0.9999999999955348,0.9999999999961977,0.9999999999969097,0.9999999999962557,0.999999999998075,0.9999999999965945,8.58651613434114e-13
1.6181816577911377,0.06177617683704453,0.00946636199951172,0.0009076071221301896,0.02,squared_error,9,200,0.2,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 9, 'model__n_estimators': 200, 'model__subsample': 0.2}",0.3228064463979379,0.05338372862605312,-0.206802169704571,0.279250431072269,0.2295392549232328,0.13563553826298436,0.19416747323788117,315,0.8141475638984836,0.838308638790281,0.8207257585100864,0.8185712419092446,0.8107885765871998,0.8205083559390591,0.009545507113382444
3.781795310974121,0.15110427298627427,0.009416770935058594,0.0011666810365833697,0.02,squared_error,9,200,0.4,"{'model__learning_rate': 0.02, 'model__loss': 'squared_error', 'model__max_depth': 9, 'model__n_estimators': 200, 'model__subsample': 0.4}",0.407744533177282,0.14627334712889284,-0.1867476159035153,0.24616024235844536,0.347301269821486,0.1921463553165182,0.2093504698310338,146,0.9606481715815949,0.9626194347203036,0.9654877554217577,0.9615522652364882,0.9632562347000235,0.9627127723320335,0.00165008771772671
