descriptor,r2,rmse
A_malt_all,0.037696123123168945,0.7007656567730108
A_malt_grain,-0.32034897804260254,0.5266606462965485
A_malt_bread,-0.8643753528594971,0.6151505912770479
A_malt_cara,0.02997654676437378,0.6116049873902781
A_malt_burn,0.14988619089126587,0.5798479387712302
A_hops_all,-0.22888052463531494,0.6830478341232106
A_hops_citrus,0.06665617227554321,0.4807434382305767
A_hops_tropical,-1.234569787979126,0.4497095495230115
A_hops_noble,0.2634439468383789,0.45218444087661835
A_hops_woody,-0.550635576248169,0.3204751067179758
A_esters_all,-0.35202598571777344,0.7250784617750916
A_esters_ethac,-0.1239922046661377,0.5555380358185245
A_esters_isoaa,-0.3671334981918335,0.6382387658388256
A_esters_flower,-0.8355188369750977,0.5003626223731176
A_esters_fruity,-0.4675769805908203,0.5703014738506313
F_malt_all,0.24846184253692627,0.5983710408969304
F_malt_grain,-0.204351544380188,0.5315300539891286
F_malt_bread,-0.12158393859863281,0.6083413184525882
F_malt_cara,-0.12307858467102051,0.5568804040426113
F_malt_burn,0.14909309148788452,0.582785610366146
F_hops_all,0.030999839305877686,0.652360698913779
F_hops_citrus,0.012843489646911621,0.3698348727528728
F_hops_tropical,-0.76944899559021,0.4623456072214049
F_hops_noble,0.32432639598846436,0.5738718970465605
F_hops_woody,-0.11516928672790527,0.36958459868244947
F_esters_all,-0.5321301221847534,0.6795445872927891
F_esters_ethac,-0.06897032260894775,0.5981481933481645
F_esters_isoaa,-0.6393316984176636,0.6323485852116273
F_esters_flower,-0.9700918197631836,0.48861301595181506
F_esters_fruity,-0.19823431968688965,0.6214413180202798
acidity,0.23664945363998413,0.6491705416374791
bitternes,0.5400302410125732,0.5739261115064932
sweetness,0.3297525644302368,0.5659324242602793
X4vg,0.12487906217575073,0.6262995798506371
diacetyl,0.08341586589813232,0.44415118390283786
dms,-0.24926793575286865,0.5002306465797584
metallic,-0.057868361473083496,0.44267510869134774
stale_hops,0.11046642065048218,0.33156793469461104
t2n,-0.14718759059906006,0.3991868881679593
orange,0.1673492193222046,0.9437372307829328
coriander,0.14154911041259766,0.6002107518324036
clove,0.003955721855163574,0.5701853205346391
lactic,-0.021906018257141113,0.5325407168443047
acetic,0.5305834412574768,0.3476419445909334
barnyard,0.07038724422454834,0.346967905078056
alcohol,0.5431801080703735,0.5757026701557973
aftertaste,0.22414368391036987,0.6311332887455434
body,0.27874255180358887,0.5150028868473954
co2,-0.2021867036819458,0.617712328888792
overall,-0.5019503831863403,0.6113801391703781
