feature,ks_stat,p_value
dimethoxy..E..citral,0.0375,0.9910574454396103
X2.butyloctanoate,0.1425,0.008542796491970425
X4.methoxysalicylaldehyde,0.0475,0.9202562631263042
ethyl.hydrocinnamate,0.045,0.9468003718156517
eugenol,0.0325,0.9987683191704525
gamma.nonalactone,0.045,0.9468003718156517
methyl.para.anisate,0.0325,0.9987683191704525
X.E..beta.damascenone,0.0275,0.9999503768313441
ethyl..9..decenoate,0.06,0.7161848267754904
vanillin,0.05,0.8878743387468179
geosmin,0.575,3.0148588943828963e-41
dodecanal,0.0475,0.9202562631263042
X4.8.alpha.epoxy.caryophyllane,0.0325,0.9987683191704525
E.caryophyllene,0.0325,0.9987683191704525
X.E..alpha.ionone,0.03,0.9996962266099569
perillyl.acetate,0.0425,0.9672282978991504
beta.humulene,0.025,0.9999954890545343
X2.phenyl.ethyl.butyrate,0.0575,0.7634242438698546
X.Z..beta.farnesene,0.055,0.8084857415008071
pentyl.octanoate,0.0425,0.9672282978991504
X.E..beta.farnesene,0.0525,0.8503140351383752
X2.methylbutyl.octanoate,0.0725,0.47833041734593434
alpha.humulene,0.0475,0.9202562631263042
neryl.propanoate,0.04,0.9817438034331898
X9.epi..E..caryophyllene,0.035,0.9962936537490669
ethyl..E..cinnamate,0.04,0.9817438034331898
linalool.isovalerate,0.0475,0.9202562631263042
alpha.terpinyl.isobutanoate,0.0225,0.9999998266852096
n.dodecanol,0.0325,0.9987683191704525
germacrene.D,0.075,0.4348842202177677
X.E..beta.ionone,0.0275,0.9999503768313441
valencene,0.045,0.9468003718156517
neryl.isobutanoate,0.0325,0.9987683191704525
E.methyl.isoeugenol,0.0425,0.9672282978991504
X.Z..dihydro.apofarnesal,0.0325,0.9987683191704525
butylated.hydroxytoluene,0.03,0.9996962266099569
X.E..dihydro.apofarnesal,0.03,0.9996962266099569
Z.nerolidol,0.04,0.9817438034331898
X.E..ortho.methoxy.cinnamaldehyde,0.0675,0.5708652482410211
alpha.calacorene,0.03,0.9996962266099569
E.nerolidol,0.0325,0.9987683191704525
dihydroisocaryophyllene.epoxide,0.025,0.9999954890545343
caryophyllene.alcohol,0.045,0.9468003718156517
neryl.isovalerate,0.0425,0.9672282978991504
spathulenol,0.0275,0.9999503768313441
caryophyllene.oxide,0.0425,0.9672282978991504
humulene.epoxide.II,0.045,0.9468003718156517
alloaromadendrene.epoxide,0.0525,0.8503140351383752
X1.10.di.epi.cubenol,0.0525,0.8503140351383752
isopropyl.laurate,0.035,0.9962936537490669
caryophylla.4.12..8.13..dien.5.alpha.ol,0.0425,0.9672282978991504
gamma.eudesmol,0.03,0.9996962266099569
alpha.muurolol,0.0425,0.9672282978991504
X1.2.dihydro.8.hydroxy..2E..linalool,0.0725,0.47833041734593434
tau.cadinol,0.0425,0.9672282978991504
selin.11.en.4.alpha.ol,0.045,0.9468003718156517
alpha.eudesmol,0.0275,0.9999503768313441
X14.hydroxy.9.epi..E..caryophyllene,0.0425,0.9672282978991504
tau.muurolol,0.2225,3.2116698514542253e-06
n.tetradecanol,0.04,0.9817438034331898
foeniculin,0.02,0.9999999982254489
cadalene,0.05,0.8878743387468179
X2.3.dihydro.farnesol,0.03,0.9996962266099569
X2E.6Z.farnesal,0.04,0.9817438034331898
caryophyllene.acetate,0.0275,0.9999503768313441
X14.hydroxy.alpha.humulene,0.0625,0.6677679087796531
X2Z.6E.farnesal,0.04,0.9817438034331898
X2Z.6Z.farnesol,0.0775,0.393718201317559
X2Z.6E.farnesol,0.0325,0.9987683191704525
ambroxide,0.0325,0.9987683191704525
benzyl.benzoate,0.045,0.9468003718156517
X2E.6E.methyl.farnesoate,0.3325,1.7100063804653984e-13
ethyl.tetradecanoate,0.06,0.7161848267754904
X2.ethylhexylsalicylate,0.0325,0.9987683191704525
isopropyl.tetradecanoate,0.0325,0.9987683191704525
ethyl.pentadecanoate,0.075,0.4348842202177677
methyl.hexadecanoate,0.035,0.9962936537490669
Z.Z.geranyl.linalool,0.06,0.7161848267754904
ethyl.hexadecanoate,0.055,0.8084857415008071
manool.oxide,0.0325,0.9987683191704525
X13.epi.manool.oxide,0.05,0.8878743387468179
isopropyl.hexadecanoate,0.02,0.9999999982254489
manool,0.06,0.7161848267754904
ethyl.octadecanoate,0.0425,0.9672282978991504
ethyl.pentanoate,0.03,0.9996962266099569
X2.ethyl.3.methylpyrazine,0.0575,0.7634242438698546
esters_sum,0.045,0.9468003718156517
aroma_hops_sum,,
acids_sum,0.0375,0.9910574454396103
sulfur_sum,0.02,0.9999999982254489
