descriptor,r2,rmse
A_malt_all,0.26990848779678345,0.610387083927294
A_malt_grain,-0.10543882846832275,0.48189659710985006
A_malt_bread,-0.011082172393798828,0.45301021569040467
A_malt_cara,0.26930105686187744,0.5308222731761021
A_malt_burn,0.1842641830444336,0.5680026216127447
A_hops_all,0.12528318166732788,0.5762753151320699
A_hops_citrus,0.14222657680511475,0.46087041463658257
A_hops_tropical,-0.15059828758239746,0.32269854510841994
A_hops_noble,0.265228271484375,0.4516363849054835
A_hops_woody,0.0612979531288147,0.2493465272404788
A_esters_all,0.03160971403121948,0.6136457004222122
A_esters_ethac,0.18665635585784912,0.4725732966999516
A_esters_isoaa,-0.01092541217803955,0.5488292924861776
A_esters_flower,-0.25390326976776123,0.4135589957109675
A_esters_fruity,0.10197478532791138,0.44611652469787855
F_malt_all,0.28243154287338257,0.5846914138540619
F_malt_grain,-0.1080101728439331,0.5098272702882382
F_malt_bread,0.11175656318664551,0.5413740327395296
F_malt_cara,-0.15761733055114746,0.5653785853773009
F_malt_burn,0.27649110555648804,0.5373901742912162
F_hops_all,0.24317002296447754,0.5765341444201827
F_hops_citrus,0.023796379566192627,0.3677774114085124
F_hops_tropical,-0.1063237190246582,0.365585382874634
F_hops_noble,0.2074892520904541,0.6215113549457298
F_hops_woody,0.09201264381408691,0.3334904079594868
F_esters_all,0.20157742500305176,0.4905536721249679
F_esters_ethac,0.28516948223114014,0.48913360968425523
F_esters_isoaa,0.03460204601287842,0.48526202782528627
F_esters_flower,-0.0127793550491333,0.35033151432060256
F_esters_fruity,0.0683102011680603,0.5479802815116183
acidity,0.7143855094909668,0.3970881032640555
bitternes,0.5593997240066528,0.5617120044711754
sweetness,0.4514005780220032,0.5120055581551103
X4vg,0.16825062036514282,0.6105824514458769
diacetyl,0.06362605094909668,0.44892037475331004
dms,0.03340655565261841,0.4400118857100525
metallic,-0.03806769847869873,0.4385126519590879
stale_hops,0.03126400709152222,0.346014313806223
t2n,-0.03761172294616699,0.3796439510849278
orange,0.16272181272506714,0.9463559531553821
coriander,0.13465553522109985,0.6026158461651939
clove,0.16901326179504395,0.5208033425915299
lactic,0.5387212038040161,0.3577907305762567
acetic,0.3720460534095764,0.40208406308294037
barnyard,0.10482800006866455,0.34047991304973807
alcohol,0.7392058372497559,0.4349853590989732
aftertaste,0.42871034145355225,0.5415750358790377
body,0.6208130717277527,0.37341452252553425
co2,0.26655077934265137,0.48248668961127433
overall,-0.010059356689453125,0.5013684381603875
