feature,ks_stat,p_value
acetaldehyde,0.4275,2.5769036523328697e-22
CS2,0.825,7.92460811104757e-93
DES,0.5675,4.091643386192516e-40
DMS,0.4775,5.608264847321814e-28
ethyl_2.methyl_butyrate,0.515,1.0186351259442479e-32
ethyl_acetate,0.46,6.520765629420035e-26
ethyl_decanoate,0.5025,4.334086283842866e-31
ethyl_hexanoate,0.4975,1.882405282687646e-30
ethyl_isovalerate,0.65,1.0416327773836718e-53
ethyl_octanoate,0.5625,2.270603854108765e-39
ethyl_propionate,0.515,1.0186351259442479e-32
H2S,0.65,1.0416327773836718e-53
isoamyl_alcohol,0.46,6.520765629420035e-26
isobutanol,0.4775,5.608264847321814e-28
isobutyl_acetate,0.55,1.5112657010182154e-37
isopentyl_acetate,0.555,2.86041310015717e-38
MeSH,0.425,4.733282090658373e-22
octyl_acetate,0.5375,8.91220413231971e-36
phenethyl_acetate,0.435,4.0569152225584435e-23
phenethyl_alcohol,0.6175,4.782279594292492e-48
X4VG,0.68,2.5541441681987547e-59
SO2.mg.L.,0.515,1.0186351259442479e-32
acetic_acid.g.L.,0.5225,1.0159216354079957e-33
ammonia.mg.L.,0.48,2.794130891168041e-28
color.EBC.,0.545,7.831498013049587e-37
betaglucan.mg.L.,0.5625,2.270603854108765e-39
lactic_acid.mg.L.,0.57,1.7239809121288995e-40
glycerol,0.4125,9.30947515015197e-21
iron,0.465,1.7119792239056996e-26
pH,0.4475,1.7140653236337424e-24
protein.g.L.,0.4025,9.383029053607102e-20
bitterness,0.5,9.052730306573787e-31
GFS,0.56,5.30931362624084e-39
ethanol..v.v.,0.4475,1.7140653236337424e-24
CO2.PSI.,0.545,7.831498013049587e-37
unfermentables,0.5575,1.2353721885733534e-38
kcalperc,0.475,1.1207782114037702e-27
X1.propanol,0.475,1.1207782114037702e-27
X2.3.butanedione,,
X3.methylbutanal,,
propylene.glycol,0.72,1.999265602903121e-67
propyl.acetate,0.57,1.7239809121288995e-40
n.pentanol,0.5025,4.334086283842866e-31
X2.methyl.1.butanol,0.4925,8.030852946398541e-30
isopentyl.formate,0.475,1.1207782114037702e-27
ethyl.isobutyrate,,
X3.methyl.2.butenal,0.445,3.254503288984146e-24
X2.methyltetrahydrofuran.3.one,0.99,6.232816823798266e-157
ethyl.butyrate,0.485,6.845210352961305e-29
butyl.acetate,0.445,3.254503288984146e-24
methylpyrazine,,
furfural,,
ethyl.lactate,0.775,6.757705169233303e-80
X3Z.hexenol,0.76,2.4963633983215136e-76
n.hexanol,0.5075,9.800781310234099e-32
styrene,0.6525,3.669857000993226e-54
X2.furanmethanol,0.275,2.5968656979457667e-09
X3.methyl.2.hexanol,0.4975,1.882405282687646e-30
X3.furanmethanol,0.525,4.667935951317562e-34
X2.acetylfuran,0.3475,1.0038973940978993e-14
X2.6.dimethyl.pyrazine,0.615,1.2534757390998926e-47
amyl.acetate,,
ethyl.tiglate,0.48,2.794130891168041e-28
benzaldehyde,0.665,1.8211238507563508e-56
X5.methylfurfural,0.6025,1.4295413865880934e-45
n.heptanol,0.465,1.7119792239056996e-26
X1.octen.3.ol,0.4425,6.1535403542660076e-24
X3.methylthio.propanol,0.8175,8.909825672526691e-91
isomaltol,0.8125,1.9676396165765774e-89
X6.methyl.5.hepten.2.one,0.82,1.866110602923202e-91
X2.pentyl.furan,0.805,1.8900197008771502e-87
ethyl.hex..3E..enoate,0.4825,1.3860159973692675e-28
alpha.phellandrene,0.535,1.9856421117503146e-35
dehydroxy.cis.linalool.oxide,0.585,8.676032857240678e-43
hexyl.acetate,0.6925,8.991306229856687e-62
isopentyl.butanoate,0.715,2.2683305100028884e-66
