run_tag,model,mode,split,RMSE,R2,target,PCR_RMSE,PCR_R2
20260220_165750,ridge,baseline_raw,train,0.04633309155258738,0.9925873873211896,,,
20260220_165750,ridge,baseline_raw,test,0.937135313691394,-2.1003024688652,,,
20260220_165750,ridge,pcr_k=174,train,0.04633309155258758,0.9925873873211896,,,
20260220_165750,ridge,pcr_k=174,test,0.9371353136913928,-2.1003024688651952,,,
20260220_165750,,pcr_k=174,test,,,A_malt_all,0.8967696066323515,-0.46236849322518014
20260220_165750,,pcr_k=174,test,,,A_malt_grain,0.8363245557447356,-3.498097972605132
20260220_165750,,pcr_k=174,test,,,A_malt_bread,1.0882816380062381,-3.606766318146515
20260220_165750,,pcr_k=174,test,,,A_malt_cara,0.9516051350770148,-0.7822320930120557
20260220_165750,,pcr_k=174,test,,,A_malt_burn,1.326649763880765,-2.2904159061599025
20260220_165750,,pcr_k=174,test,,,A_hops_all,0.964752810097974,-1.1450655035889143
20260220_165750,,pcr_k=174,test,,,A_hops_citrus,0.9186540472787375,-1.9700303853478984
20260220_165750,,pcr_k=174,test,,,A_hops_tropical,1.3398029423091977,-3.5385405168033692
20260220_165750,,pcr_k=174,test,,,A_hops_noble,0.9568854378927198,-2.637292940721285
20260220_165750,,pcr_k=174,test,,,A_hops_woody,0.7406651679745564,-3.0731751105227803
20260220_165750,,pcr_k=174,test,,,A_esters_all,0.9627898063324324,-1.786961184630302
20260220_165750,,pcr_k=174,test,,,A_esters_ethac,1.149518749072389,-4.508168353180008
20260220_165750,,pcr_k=174,test,,,A_esters_isoaa,0.9607160559576458,-3.495410261365622
20260220_165750,,pcr_k=174,test,,,A_esters_flower,0.7458697470402768,-2.908816334776403
20260220_165750,,pcr_k=174,test,,,A_esters_fruity,0.8791599285513918,-3.1965797426175095
20260220_165750,,pcr_k=174,test,,,F_malt_all,0.8430955522850275,-0.40805852754421323
20260220_165750,,pcr_k=174,test,,,F_malt_grain,0.8586472544621571,-2.793955187086471
20260220_165750,,pcr_k=174,test,,,F_malt_bread,0.9251013752427231,-2.8445837649649373
20260220_165750,,pcr_k=174,test,,,F_malt_cara,0.9872063797209517,-1.3417988252992021
20260220_165750,,pcr_k=174,test,,,F_malt_burn,1.1378652020391165,-1.385361744937994
20260220_165750,,pcr_k=174,test,,,F_hops_all,0.8464303364442084,-0.5710018532781662
20260220_165750,,pcr_k=174,test,,,F_hops_citrus,0.8517244829065833,-2.018123665006095
20260220_165750,,pcr_k=174,test,,,F_hops_tropical,1.0750123297060548,-3.133430120867457
20260220_165750,,pcr_k=174,test,,,F_hops_noble,0.9352083079167856,-1.7285565414371709
20260220_165750,,pcr_k=174,test,,,F_hops_woody,0.6586040847584236,-1.4824766656740889
20260220_165750,,pcr_k=174,test,,,F_esters_all,0.83506300678007,-1.0396484607393823
20260220_165750,,pcr_k=174,test,,,F_esters_ethac,0.9328639811283547,-3.3395193589775474
20260220_165750,,pcr_k=174,test,,,F_esters_isoaa,0.8558262052802447,-1.6165700580246858
20260220_165750,,pcr_k=174,test,,,F_esters_flower,0.9243390056200147,-7.598387116129668
20260220_165750,,pcr_k=174,test,,,F_esters_fruity,0.7965746061572221,-0.9064514998535473
20260220_165750,,pcr_k=174,test,,,acidity,1.0066750546735745,-0.5256943232590301
20260220_165750,,pcr_k=174,test,,,bitternes,0.8511024766521118,-0.2878103145483857
20260220_165750,,pcr_k=174,test,,,sweetness,0.9957075293581388,-1.1122753652911235
20260220_165750,,pcr_k=174,test,,,X4vg,1.141614483073342,-5.01677314014825
20260220_165750,,pcr_k=174,test,,,diacetyl,0.9214376107105796,-1.8657322432804766
20260220_165750,,pcr_k=174,test,,,dms,0.8362494664029283,-2.6389830910637073
20260220_165750,,pcr_k=174,test,,,metallic,1.1467801536653341,-4.2206532761044375
20260220_165750,,pcr_k=174,test,,,stale_hops,0.813272253293902,-0.9173137003888732
20260220_165750,,pcr_k=174,test,,,t2n,0.7880888317628917,-3.351553646044171
20260220_165750,,pcr_k=174,test,,,orange,0.9590258368304918,-0.0542541114289965
20260220_165750,,pcr_k=174,test,,,coriander,0.8042442606911777,-1.892533640742041
20260220_165750,,pcr_k=174,test,,,clove,1.0412355131904796,-3.821150331078811
20260220_165750,,pcr_k=174,test,,,lactic,0.6758087899130057,0.06860859622813464
20260220_165750,,pcr_k=174,test,,,acetic,0.8281915935462089,-0.7917396034729636
20260220_165750,,pcr_k=174,test,,,barnyard,0.8272673363089647,-0.9451927506405178
20260220_165750,,pcr_k=174,test,,,alcohol,0.7581635774475778,-0.0058231768363663505
20260220_165750,,pcr_k=174,test,,,aftertaste,0.8616720182976446,-0.8558435189984559
20260220_165750,,pcr_k=174,test,,,body,0.6223961918732545,-0.046186765933412754
20260220_165750,,pcr_k=174,test,,,co2,1.0155073063928064,-1.7954161867241352
20260220_165750,,pcr_k=174,test,,,overall,1.1674436737528582,-3.830958346980222
