pc_index_1based_full,eigenvalue,explained_variance_ratio,explained_variance_ratio_percent,kept_nonzero
1,35.04999011956459,0.15076511590845876,15.076511590845875,True
2,18.4268696597593,0.07926190936450354,7.926190936450355,True
3,14.270842749254998,0.061385046154459395,6.13850461544594,True
4,11.132355633826373,0.047885060216640844,4.788506021664085,True
5,9.746583021500397,0.04192425486955253,4.192425486955253,True
6,7.470691352608507,0.03213466377166368,3.213466377166368,True
7,6.62281134763991,0.028487566389054118,2.848756638905412,True
8,5.9757115425903695,0.025704111193208628,2.570411119320863,True
9,5.533085909968617,0.02380018755218529,2.3800187552185292,True
10,5.0750728142395065,0.02183007579952471,2.1830075799524713,True
11,4.345214671770091,0.018690641321204782,1.8690641321204782,True
12,3.879560576776177,0.01668766233703045,1.668766233703045,True
13,3.693345812600857,0.0158866723678753,1.58866723678753,True
14,3.3094609350927393,0.014235418034975795,1.4235418034975795,True
15,3.1596744027531347,0.013591121593445525,1.3591121593445525,True
16,3.1107643950930655,0.01338073856769289,1.3380738567692891,True
17,2.8654633553975177,0.012325593058207534,1.2325593058207533,True
18,2.842135507511116,0.01222524992890876,1.222524992890876,True
19,2.726596470558086,0.011728266727522576,1.1728266727522576,True
20,2.525855683765506,0.010864794073604621,1.0864794073604622,True
21,2.4409136490412253,0.010499421767734607,1.0499421767734607,True
22,2.316234461581251,0.009963122839128548,0.9963122839128548,True
23,2.2985314539056043,0.009886974572180608,0.9886974572180608,True
24,2.2013699545802914,0.009469041081824395,0.9469041081824395,True
25,2.113942034534811,0.009092975911639519,0.9092975911639519,True
26,2.0381959772665015,0.008767159468761523,0.8767159468761523,True
27,2.029668413705934,0.008730478742055466,0.8730478742055465,True
28,1.9136640124014532,0.008231493807996983,0.8231493807996983,True
29,1.8923159857288763,0.00813966674314679,0.813966674314679,True
30,1.8307636044536313,0.007874903418941913,0.7874903418941913,True
31,1.7955234870413461,0.007723320483592519,0.772332048359252,True
32,1.7317163156321551,0.007448858335087438,0.7448858335087438,True
33,1.6104240338341966,0.006927127947669633,0.6927127947669632,True
34,1.587241741344109,0.006827410914872499,0.6827410914872499,True
35,1.5378082378415165,0.0066147761078467066,0.6614776107846707,True
36,1.4904627454538788,0.006411122736669838,0.6411122736669838,True
37,1.4630445623529156,0.006293185312461873,0.6293185312461873,True
38,1.434092586003066,0.00616865038234423,0.6168650382344231,True
39,1.3482424225765623,0.005799371823474333,0.5799371823474333,True
40,1.3089149617422475,0.00563020746220505,0.563020746220505,True
41,1.2956069780317667,0.005572964087819658,0.5572964087819658,True
42,1.2452946216647656,0.005356548955791859,0.5356548955791859,True
43,1.2138132232719543,0.005221133891152419,0.522113389115242,True
44,1.1771403759220875,0.005063388166758916,0.5063388166758916,True
45,1.151817442609033,0.004954463315052502,0.49544633150525025,True
46,1.101201498296425,0.004736742320408147,0.47367423204081466,True
47,1.0809968701080008,0.004649833505303666,0.4649833505303666,True
48,1.0660516030362872,0.004585547469425669,0.4585547469425669,True
49,1.0312492006711278,0.0044358473351723575,0.44358473351723576,True
50,0.9820505332397286,0.004224222659315565,0.4224222659315565,True
51,0.9686961992109068,0.004166779912231544,0.41667799122315435,True
52,0.9567874198170351,0.004115555118743139,0.41155551187431394,True
53,0.9136660376152826,0.00393007146629123,0.393007146629123,True
54,0.888659848400144,0.0038225090674834537,0.3822509067483454,True
55,0.8782242055150059,0.0037776208691190577,0.37776208691190577,True
56,0.8503073423083285,0.003657538406818849,0.36575384068188493,True
57,0.8367518241389732,0.003599230280025361,0.3599230280025361,True
58,0.8091266781465193,0.0034804026192091146,0.3480402619209115,True
59,0.7853223564910204,0.0033780099708439946,0.3378009970843995,True
60,0.75113490627992,0.0032309550108822753,0.32309550108822754,True
61,0.7475117910167017,0.0032153704303803854,0.32153704303803854,True
62,0.7244572585735881,0.0031162029486166407,0.3116202948616641,True
63,0.6967762809978387,0.0029971351320942675,0.29971351320942674,True
64,0.6807317355538519,0.0029281206260898577,0.2928120626089858,True
65,0.6680202703979884,0.002873443135139001,0.2873443135139001,True
66,0.6564578179807795,0.0028237080432625132,0.28237080432625133,True
67,0.6264960890048596,0.0026948297318432203,0.269482973184322,True
68,0.6163488553245321,0.0026511821057883743,0.26511821057883744,True
69,0.6127971449719595,0.0026359046685864736,0.26359046685864734,True
70,0.5906370270898533,0.002540584449389723,0.25405844493897234,True
71,0.5729014675332467,0.002464296162770189,0.24642961627701893,True
72,0.5615875277802087,0.0024156300309844357,0.24156300309844358,True
73,0.5482062910921822,0.0023580715639667025,0.23580715639667024,True
74,0.5302193922274668,0.002280702158642424,0.22807021586424242,True
75,0.5249491955317694,0.00225803277092001,0.22580327709200101,True
76,0.520977033710265,0.002240946790713357,0.2240946790713357,True
77,0.5004272087137737,0.002152553135339252,0.2152553135339252,True
78,0.49396259189460423,0.0021247460318073795,0.21247460318073794,True
79,0.48097298768541213,0.002068872144895477,0.2068872144895477,True
80,0.4724845307584589,0.0020323596326776287,0.20323596326776286,True
81,0.4448777509618658,0.001913610972786584,0.1913610972786584,True
82,0.42750215875627445,0.0018388710609087819,0.1838871060908782,True
83,0.4189391532855186,0.0018020378832696634,0.18020378832696635,True
84,0.4121679942840622,0.0017729122096758398,0.17729122096758398,True
85,0.4002558597502562,0.001721672984284334,0.1721672984284334,True
86,0.39996461036485087,0.0017204201951337777,0.17204201951337778,True
87,0.39452758039707236,0.0016970331855941563,0.16970331855941562,True
88,0.375687096595443,0.0016159921435158434,0.16159921435158434,True
89,0.3592902744684556,0.0015454623436479181,0.1545462343647918,True
90,0.34691543754214316,0.0014922328358169773,0.14922328358169773,True
91,0.3370542402191763,0.0014498155754319763,0.14498155754319764,True
92,0.33170671879960456,0.0014268135807411226,0.14268135807411225,True
93,0.3116515468237186,0.001340547641230322,0.1340547641230322,True
94,0.30719116425608783,0.0013213616131455507,0.13213616131455508,True
95,0.28716077608980556,0.0012352022794829916,0.12352022794829916,True
96,0.2826714515645203,0.0012158917595628297,0.12158917595628298,True
97,0.27739511702574365,0.001193195970331596,0.11931959703315961,True
98,0.2678896058058873,0.0011523086691956435,0.11523086691956434,True
99,0.25896906564971234,0.0011139375807581303,0.11139375807581303,True
100,0.25147355801161747,0.0010816961714454549,0.10816961714454548,True
101,0.2446601566890217,0.0010523887954197305,0.10523887954197306,True
102,0.24070659517359744,0.0010353828231472464,0.10353828231472464,True
103,0.23708082938144925,0.0010197868415779102,0.10197868415779102,True
104,0.21632851261606612,0.0009305221818211129,0.09305221818211129,True
105,0.21173329206022212,0.0009107561574267141,0.09107561574267141,True
106,0.20659903331632298,0.0008886714974314494,0.08886714974314494,True
107,0.19824266619637204,0.0008527271604112286,0.08527271604112287,True
108,0.19175191155772509,0.0008248076268509969,0.08248076268509968,True
109,0.1882322765530808,0.0008096681595467118,0.08096681595467119,True
110,0.17931946541791466,0.0007713303169601753,0.07713303169601753,True
111,0.17836117703902588,0.0007672083055694717,0.07672083055694716,True
112,0.17319542004802507,0.000744988158036008,0.0744988158036008,True
113,0.16715150894331518,0.0007189906911284959,0.07189906911284959,True
114,0.1589273567264344,0.0006836150673980135,0.06836150673980135,True
115,0.14911130909903778,0.000641392015315573,0.0641392015315573,True
116,0.14062833842986353,0.0006049031018573001,0.06049031018573001,True
117,0.13998703501906157,0.0006021445794516668,0.06021445794516667,True
118,0.13708963818831157,0.0005896816267509471,0.058968162675094714,True
119,0.12858707724286808,0.0005531084470699924,0.05531084470699924,True
120,0.12556266565918525,0.0005400991491668153,0.054009914916681535,True
121,0.12207032974004613,0.0005250771069966412,0.052507710699664124,True
122,0.1145228127779146,0.0004926119831625078,0.04926119831625078,True
123,0.1065480880154192,0.00045830925442979543,0.04583092544297954,True
124,0.10525518959018874,0.00045274794099510403,0.0452747940995104,True
125,0.09987945161292748,0.0004296245747267952,0.04296245747267952,True
126,0.09360143142849525,0.00040262010375397066,0.04026201037539707,True
127,0.09097336102576258,0.0003913156401141246,0.03913156401141246,True
128,0.0875927308693204,0.0003767740925804168,0.03767740925804168,True
129,0.08240577855245407,0.0003544627748140963,0.035446277481409626,True
130,0.07576670521761,0.00032590525860829833,0.03259052586082983,True
131,0.0745749291572867,0.0003207789160541738,0.03207789160541738,True
132,0.07037068178388259,0.00030269463584762124,0.030269463584762124,True
133,0.0693398685519745,0.0002982606638020244,0.02982606638020244,True
134,0.06543813281069676,0.000281477616523801,0.0281477616523801,True
135,0.06411946846964064,0.00027580547277866757,0.027580547277866758,True
136,0.05994325663320326,0.0002578417855014119,0.025784178550141187,True
137,0.05627003297217568,0.0002420416671811675,0.024204166718116753,True
138,0.05513735682244158,0.00023716953881768228,0.023716953881768227,True
139,0.05118952554846927,0.00022018821478372082,0.022018821478372082,True
140,0.04698824760024953,0.00020211670735486597,0.020211670735486596,True
141,0.04621109562730994,0.0001987738417255452,0.01987738417255452,True
142,0.04291745653710834,0.00018460648026550028,0.01846064802655003,True
143,0.03987706226902739,0.0001715284339473425,0.01715284339473425,True
144,0.035391722414266566,0.0001522350538127108,0.015223505381271079,True
