target,target_index_1based,k,cum_evr_percent,train_rmse,train_r2,train_accuracy,test_rmse,test_r2,test_accuracy,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
t2n,39,1,14.323115634427936,0.40357435578563616,0.001569318047208057,0.03961461910971824,0.39116258720543,-0.021733812826344234,0.007641312791507865,0.40265323097906497,0.05806210354569526,-0.015163224994027402,0.017019137550288038
t2n,39,2,22.498372323314324,0.39856902897844027,0.026181790269909966,0.16180788074105018,0.39917733612035206,-0.06403250969897067,-0.03157851776467749,0.40049333667958187,0.055352383570345484,-0.007872053880733065,0.07854337908323802
t2n,39,3,28.32858601341222,0.39421648625603634,0.047334672109286435,0.2175653283712421,0.509226564347763,-0.7315907137309476,-0.08021631909754486,0.40026044650797726,0.05959851884716095,-0.007257343931541804,0.1089046410664519
t2n,39,4,33.20609771142012,0.3870088336247351,0.08185230078901296,0.2860984110214751,0.41192265328633404,-0.13306414937728928,0.021424345021983024,0.39495769534669456,0.05817285405411421,0.019975412610629607,0.08690660532587319
t2n,39,5,37.27551848649523,0.38582191418453426,0.08747540885270422,0.29576241960855043,0.4326857364073293,-0.25016778533328665,0.14060948791052716,0.3948912436424706,0.06221484830343087,0.022007369562720692,0.09283447746885935
t2n,39,6,40.411781661541944,0.3840783665077568,0.09570425797672111,0.3093610479306033,0.4570602287688202,-0.3949865214382524,-0.023569694109417297,0.3980886409222009,0.058338006340442596,-0.0016876161469888018,0.15347161942977017
t2n,39,7,43.3565036214753,0.3837889241695237,0.0970667031043484,0.3115552970250201,0.5058446728639586,-0.7086672977161668,-0.056367176200644735,0.3998748594342487,0.05750416146613457,-0.009640558181914227,0.14181763672832176
t2n,39,8,45.89358459636036,0.3816013022887159,0.10733092341074024,0.32761398537110764,0.395438698254385,-0.04419469310717017,0.09994731469124536,0.40878888693464893,0.059640402230924504,-0.05514459557451756,0.16673447168842845
t2n,39,9,48.25644333704925,0.3804190048359774,0.11285378415717384,0.33593717293144826,0.5640687686457831,-1.1246493013489651,-0.06411614052272009,0.41462338321313474,0.06939005170076235,-0.0804515795481116,0.1709243281295715
t2n,39,10,50.33629156130735,0.38017529423338997,0.11399009796370974,0.33762419635403734,0.5871700134761546,-1.3022415230332847,-0.06364969700066288,0.4161486353138521,0.06805568878430983,-0.08904938318148492,0.16642578917276216
t2n,39,11,52.222987299067626,0.3762691507455421,0.13210333308740985,0.36346022215286505,0.7917625918291,-3.1861337853174554,-0.07408240344622033,0.42095771479917765,0.06779467431715246,-0.12104650271957455,0.20837308646396122
