target,target_index_1based,best_k,best_cum_evr_percent,best_train_rmse,best_train_r2,best_test_rmse,best_test_r2,best_train_accuracy,best_test_accuracy,best_cv_rmse_mean,best_cv_r2_mean
A_malt_all,1,24,67.99311962409811,0.4556924930884994,0.5391633910303382,0.6388549172241685,0.3730954214315336,0.734277461883679,0.6213864737426084,0.5618813826396005,0.26437683834547904
A_malt_grain,2,9,48.25644333704925,0.4226106198539388,0.1896416432802589,0.8486591955899031,-3.014689977077916,0.4354786369964191,0.17998253384127214,0.4537571381027495,0.02980955345828711
A_malt_bread,3,8,45.89358459636036,0.4933464367737503,0.16619502934503094,1.1306520372178204,-4.644948694996999,0.40767024584218897,0.058316914937722224,0.5096833394772929,0.09324828201545048
A_malt_cara,4,21,65.10043353414554,0.4982814230079925,0.3875761704985068,0.6809276667725395,-0.2794201498802791,0.6225561585098223,0.343919903258439,0.590464412699933,0.0939460630574801
A_malt_burn,5,1,14.323115634427936,0.5170633110511443,0.010156485209869781,0.9505318314922137,-0.02916656260403605,0.10077938881472479,0.25672877794623467,0.501291831408489,-0.06959014458887691
A_hops_all,6,4,33.20609771142012,0.5163622545280915,0.38891798815362055,0.6850864718080649,-0.11605184905038146,0.6236328953427814,0.4301225017605017,0.5315024982290598,0.32701588224556427
A_hops_citrus,7,9,48.25644333704925,0.4151579190644712,0.2817024396415114,0.6724553373984555,-0.995986820707689,0.5307564786618354,0.2514200401897328,0.46122736853912993,0.08782733422514932
A_hops_tropical,8,4,33.20609771142012,0.5887840163005172,0.15452451290087854,0.8122232735902183,-1.4106053495237165,0.3930960606529641,0.06577377339382247,0.591159557296222,0.07797600586111017
A_hops_noble,9,4,33.20609771142012,0.4399876325234922,0.30456706030299296,0.489237155226188,0.18665237400200418,0.5518759464798167,0.47589403565909205,0.44358091039577385,0.2808226684518507
A_hops_woody,10,4,33.20609771142012,0.3212363101312502,0.14176872930811524,0.4179227386606132,-0.02706732776935472,0.37652188423531924,0.15472065842313837,0.3300956311440886,0.04833547616002824
A_esters_all,11,7,43.3565036214753,0.5326850458388415,0.1729287732677316,1.1614132005017266,-2.3814477959760088,0.41584705513894393,0.33153080989829875,0.5415610057794797,0.11203859419131354
A_esters_ethac,12,5,37.27551848649523,0.4440968407259905,0.2508494950077136,0.6574514867134126,-1.044128537606828,0.50084877458941,0.23526111602406027,0.4547222255356479,0.18169778699839054
A_esters_isoaa,13,1,14.323115634427936,0.5347702458441862,0.007612695695646821,0.550704323675813,-0.0467906479576119,0.08725076329549686,-0.20382561248119102,0.5335873539142263,-0.020656716296728318
A_esters_flower,14,6,40.411781661541944,0.39788993559905395,0.10216349509229361,1.107489136064278,-5.598637578810161,0.31963024746149066,0.514087013959214,0.43364844397023167,-0.10218010684594891
A_esters_fruity,15,6,40.411781661541944,0.4375134837642679,0.14399361947563072,0.6219134631487893,-0.19671357120280453,0.37946491204804567,0.5361234577262836,0.4537383194302468,0.03600624352053246
F_malt_all,16,24,67.99311962409811,0.43361453504859004,0.571263412571337,0.8853657199454144,-0.4524733036349582,0.7558196958080254,0.41821307697995475,0.5564149468215575,0.2772353841417251
F_malt_grain,17,9,48.25644333704925,0.4143735118857241,0.19504471538136536,1.1844129916523163,-7.10601486681796,0.44163867061362,0.1280136893078761,0.4367006502755363,0.07137876475577623
F_malt_bread,18,8,45.89358459636036,0.41744550245958706,0.25750515002372876,1.0114364444011505,-3.235805995028201,0.5074496526984019,0.11082524591515204,0.4441960633454958,0.13633320779058886
F_malt_cara,19,14,56.81158323411232,0.480699043438701,0.33873340989024125,0.676975309511125,-0.7067016896834342,0.5820080840420013,0.19780175931036564,0.5320383175066116,0.1505496992721366
F_malt_burn,20,21,65.10043353414554,0.4852767420347702,0.3359802107342649,1.5072966725915664,-2.2364286972357075,0.5796379997328198,0.23167586922122516,0.5480916453031462,0.0479186392624565
F_hops_all,21,11,52.222987299067626,0.48126466308821075,0.5426370540412542,0.7465649166989079,-0.3485539016385426,0.7366390256029429,0.43987408469112077,0.508782747775651,0.4700752431133166
F_hops_citrus,22,4,33.20609771142012,0.39616807299456747,0.21163736354166263,0.6527897333771531,-1.0951464477788684,0.46004061075264036,0.12016935205389975,0.41836959607988655,-0.006281887331308966
F_hops_tropical,23,4,33.20609771142012,0.46681756555441545,0.15721777590701136,0.6689885867780778,-0.7524002529552771,0.39650696829565435,0.06639600658721236,0.4734085356925594,0.10006610534137658
F_hops_noble,24,8,45.89358459636036,0.47574507983595793,0.4077694469995352,1.2104019734213005,-3.202795779035557,0.638568279042684,0.25326108569197964,0.49263357917437645,0.34986094161115466
F_hops_woody,25,4,33.20609771142012,0.4281528448241899,0.194260330041222,0.6181191016535577,-1.0414101330886139,0.44074973629172143,0.17060666935758487,0.4333422146471052,0.15517428002927539
F_esters_all,26,6,40.411781661541944,0.5385157441340558,0.16225221552266778,0.5928822820515373,-0.09851607699328824,0.4028054313470314,0.39830733938699137,0.5594979921711554,0.07765122412763818
F_esters_ethac,27,5,37.27551848649523,0.4287299096265387,0.2664154721088994,0.6572919526143276,-0.8434756128092873,0.5161545041059892,0.17190307651009226,0.4442265179665513,0.18605220497681682
F_esters_isoaa,28,1,14.323115634427936,0.5716070486355118,0.028706359652632574,0.5522695820424732,-0.0887612119427057,0.1694295123425441,-0.1399697279022977,0.5752794661994326,-0.032203939660983186
F_esters_flower,29,6,40.411781661541944,0.37572064880012435,0.09118074469124138,1.1054217608364358,-4.798196909282013,0.3019614953785354,0.32180154582559173,0.3961116156118095,-0.03815479207210941
F_esters_fruity,30,13,55.38234310482218,0.41184349344230026,0.2033669962712935,0.8117760136457063,-0.8758333495726323,0.45096230027718875,0.35154241494636373,0.44436825017124687,0.020204541819344213
acidity,31,13,55.38234310482218,0.42296718807270794,0.7467529611833756,2.213897641578519,-5.150046524494752,0.8641486915938581,0.2283288285421813,0.46579896744690047,0.6729255442160406
bitternes,32,12,53.816778306876955,0.4259525313184517,0.6418679033742233,0.5076346153607911,0.564397423131503,0.8011665890276648,0.7522991391373505,0.47229243599688664,0.5133960072690724
sweetness,33,14,56.81158323411232,0.5695903167161842,0.3194555938597903,0.535049848929636,0.3261003707789768,0.5652040285240277,0.5862188176335783,0.6326338189580724,0.11523762003569524
X4vg,34,3,28.32858601341222,0.6486108695281303,0.09423526756983469,0.9267319271941099,-1.633619476079327,0.306977633663814,0.138177528354716,0.6391577785221225,-0.07420449122343435
diacetyl,35,15,58.14572315320123,0.46427106591079764,0.2794098546431337,0.9379406792256861,-3.9040100542338045,0.5285923331293537,0.03369583519969614,0.49739154369697697,0.12686377787236902
dms,36,14,56.81158323411232,0.4402241538707323,0.22587924943822635,2.6708070985430092,-28.078559992770284,0.475267555633904,0.14238475443068907,0.5070904088969719,-0.05426704941273379
metallic,37,5,37.27551848649523,0.4814660782065445,0.06527246696094158,0.9877773662013444,-3.6997200329681217,0.25548476854979346,-0.01310108217632462,0.4891218922083186,0.002299317173851123
stale_hops,38,5,37.27551848649523,0.4102376718221855,0.09207589281588124,0.6707499501418446,-1.1015018099117553,0.30344009757426765,0.10048833326269577,0.41024965562827553,0.06310929603078866
t2n,39,5,37.27551848649523,0.38582191418453426,0.08747540885270422,0.4326857364073293,-0.25016778533328665,0.29576241960855043,0.14060948791052716,0.3948912436424706,0.022007369562720692
orange,40,9,48.25644333704925,0.590725052886202,0.3148970745318578,0.7615755187408455,-0.6031864002003096,0.5611569072299276,0.30318701344768895,0.6352589247119591,-0.9492480169765779
coriander,41,15,58.14572315320123,0.3126495907207708,0.3634705839430943,1.052630908979292,-2.457233771365446,0.6028852162253563,0.1536976147411158,0.33430066053931856,0.020463714688030276
clove,42,1,14.323115634427936,0.6000516312909827,0.024309291980617376,0.43180700569340696,-0.049198614278436414,0.1559143738743081,-0.007846702981285283,0.5170494032824874,0.01969329857017621
lactic,43,27,70.584059290154,0.2932713730766625,0.8071131414433288,2.337404917044364,-6.3095756132223455,0.8983947581343787,0.322256638747415,0.393360263610776,0.6445805057636776
acetic,44,13,55.38234310482218,0.4307776229464009,0.6455097820626655,2.629249632362141,-9.943234150754085,0.8034362339742127,0.08848694933390322,0.46476551088364176,0.4523537012762936
barnyard,45,15,58.14572315320123,0.3909356492814562,0.21489359178746636,0.4780225056774089,-0.06447588594871112,0.46356616764758257,0.14373874874467088,0.41948259709572644,0.06491639463849064
alcohol,46,7,43.3565036214753,0.43773540162713276,0.6737363349398247,1.3072248700586562,-2.177875485017757,0.820814433925126,0.48414904018419125,0.45904740573494635,0.6323962338127471
aftertaste,47,11,52.222987299067626,0.40849476195163126,0.5406739378782652,0.5352813278701791,0.33390161520159356,0.735305336495163,0.6045947297344146,0.43582641733058247,0.4559812612723972
body,48,21,65.10043353414554,0.3463033138823238,0.6080511645298432,0.663788982125745,-0.2623578383417484,0.7797763554570266,0.5262174103971933,0.3856192482456356,0.4878134027024724
co2,49,11,52.222987299067626,0.4634528475519625,0.40353669708401974,2.0444949415067764,-12.46427928506918,0.6352453833630117,0.1498058176411787,0.4965365524555663,0.2916683959860141
overall,50,5,37.27551848649523,0.48764720531952394,0.2180649404207874,0.5837100024595541,-0.19874770702515354,0.46697423956872297,0.17157908272931002,0.4927015181582351,0.16067972096707622
