feature,ks_stat,p_value
acetaldehyde,0.2725,3.777560160336705e-09
CS2,0.465,1.7119792239056996e-26
DES,0.375,3.8845725475963675e-17
DMS,0.1725,0.0006709583192474076
ethyl_2.methyl_butyrate,0.2375,4.926809132735795e-07
ethyl_acetate,0.295,1.1368675236203857e-10
ethyl_decanoate,0.185,0.00020094686161401939
ethyl_hexanoate,0.265,1.1379283602422221e-08
ethyl_isovalerate,0.275,2.5968656979457667e-09
ethyl_octanoate,0.225,2.37058383418446e-06
ethyl_propionate,0.3025,3.311707318175834e-11
H2S,0.41,1.6687787389791512e-20
isoamyl_alcohol,0.335,1.0761614686706765e-13
isobutanol,0.3775,2.2906981014017542e-17
isobutyl_acetate,0.3175,2.5442800223801305e-12
isopentyl_acetate,0.2125,1.0447705977863681e-05
MeSH,0.175,0.0005308357569488482
octyl_acetate,0.305,2.179268493798199e-11
phenethyl_acetate,0.2125,1.0447705977863681e-05
phenethyl_alcohol,0.1325,0.017888195483849026
X4VG,0.3675,1.8507127818953243e-16
SO2.mg.L.,0.09,0.22598532664631668
acetic_acid.g.L.,0.11,0.07739524550093227
ammonia.mg.L.,0.155,0.0031417486775911162
color.EBC.,0.1975,5.520946369863485e-05
betaglucan.mg.L.,0.1675,0.0010609497633024907
lactic_acid.mg.L.,0.28,1.214004316129806e-09
glycerol,0.255,4.708125094512707e-08
iron,0.1325,0.017888195483849026
pH,0.1525,0.003863813477929572
protein.g.L.,0.245,1.839892503683708e-07
bitterness,0.26,2.3312500046609637e-08
GFS,0.2225,3.2116698514542253e-06
ethanol..v.v.,0.495,3.8967715307051046e-30
CO2.PSI.,0.4025,9.383029053607102e-20
unfermentables,0.1825,0.00025751020160872854
kcalperc,0.1775,0.0004185356623688195
X1.propanol,0.325,6.707822936321859e-13
X2.3.butanedione,,
X3.methylbutanal,,
propylene.glycol,0.3325,1.7100063804653984e-13
propyl.acetate,0.4325,7.544315785501382e-23
n.pentanol,0.21,1.3909111049918432e-05
X2.methyl.1.butanol,0.2675,7.907546340659783e-09
isopentyl.formate,0.34,4.214337327417989e-14
ethyl.isobutyrate,,
X3.methyl.2.butenal,0.1425,0.008542796491970425
X2.methyltetrahydrofuran.3.one,0.5125,2.176441618319111e-32
ethyl.butyrate,0.32,1.6375240283189414e-12
butyl.acetate,0.17,0.0008451620190338401
