Model,R2_Score,MSE,Gain_R2
Baseline,0.23215895317029805,0.24036907795328297,0.0
Track A (Rand),0.20517887611247193,0.24678958719158636,-0.026980077057826124
Track B (Filt),0.20517887611247193,0.24678958719158636,-0.026980077057826124
