Feature,Skewness,Kurtosis,Shapiro_P,Is_Normal
acetaldehyde,-2.301381471303909,11.177243420858339,6.347994735484295e-15,False
CS2,1.969487864592614,2.1336733754602712,1.1228173745489482e-26,False
DES,-1.3474298342766664,1.1112080278709917,2.740590084528283e-16,False
DMS,-0.04303069078221389,1.3260606472737337,0.0371762190298874,False
ethyl_2.methyl_butyrate,0.06238268722720796,-1.1179553786121157,5.143415531263811e-13,False
ethyl_acetate,-2.7985876022618896,12.316148465898417,2.2640264405994574e-18,False
ethyl_decanoate,-0.7793705599502276,0.5069495919405242,8.650048450232619e-07,False
ethyl_hexanoate,-1.9487456271700854,6.901728476696716,2.881078381902151e-14,False
ethyl_isovalerate,-0.4795055874903572,-1.4649649127270208,1.0273311203757445e-17,False
ethyl_octanoate,-1.5022072208151565,3.1601833170337152,2.4167100412425518e-12,False
ethyl_propionate,-0.8087498489916641,1.4900090096438388,5.8218542891397846e-08,False
H2S,-3.3811985609380693,12.085769604329629,3.7585350536385e-24,False
isoamyl_alcohol,-4.046371109508906,21.639768251473868,5.396683447478922e-23,False
isobutanol,-3.5023041288570402,14.150579924711543,2.5307323298288574e-23,False
isobutyl_acetate,-1.747776063130275,3.5522629754500756,2.3966693554084415e-15,False
isopentyl_acetate,-0.8525223044515321,0.3149696515347271,2.2679639794250972e-08,False
MeSH,-1.454295358685354,7.63967614564927,2.797825268244441e-10,False
octyl_acetate,0.05208372215047852,-1.700994413734074,3.5955123951923893e-17,False
phenethyl_acetate,-0.7467116015431697,0.8778180161910591,2.8047712698865054e-05,False
phenethyl_alcohol,-0.5768007634250166,0.18691790990212676,2.961158692131202e-07,False
X4VG,1.1026030946278889,-0.4031681968905856,7.432105243986622e-22,False
SO2.mg.L.,-0.529034176740308,2.6207351008361095,2.4693414368002102e-05,False
acetic_acid.g.L.,0.34925770043730053,0.6259088090760327,0.005162529112845847,False
ammonia.mg.L.,-0.8839110660455386,1.5573652479171893,1.9490841075851186e-07,False
color.EBC.,0.3117325348992622,-0.999076135427222,1.1044702490330617e-07,False
