fold,splitter,n_fold_train,n_fold_val,n_outer_test,p,k_keep,standardize_before_pca,eig_tol,fold_train_recon_rmse,fold_train_recon_r2_flat,fold_val_recon_rmse,fold_val_recon_r2_flat,outer_test_recon_rmse,outer_test_recon_r2_flat,fold_val_max_abs_err,outer_test_max_abs_err
1,KFold,157,18,75,231,156,True,1e-12,1.611918960877104e-13,1.0,20.696019397219935,-42.86903198911667,498.2782894980431,-25.238509068873878,672.1722354753756,56191.73737803731
2,KFold,157,18,75,231,156,True,1e-12,1.0871137725108356e-13,1.0,42.16982760831117,0.8595382232684964,185.48809280914753,-2.6360286450981367,2641.663896397793,22505.90800307029
3,KFold,157,18,75,231,156,True,1e-12,1.4109836020438916e-13,1.0,15.745226164962459,-20.238627572754417,876.1023226677348,-80.115692435895,569.3735981397666,112775.18097563098
4,KFold,157,18,75,231,156,True,1e-12,1.5362231875401214e-13,1.0,14.405451586338224,-21.037025845960972,1063.287623341121,-118.48042033855735,599.9563935254787,138709.20750419897
5,KFold,157,18,75,231,156,True,1e-12,1.1774794485761087e-13,1.0,1074.638250827302,-112.93419955109793,309.5563795915957,-9.126858490071315,69120.40676720963,39920.77504402854
6,KFold,158,17,75,231,157,True,1e-12,1.5617436067253462e-13,1.0,49.9343676185529,-1.011145860349353,235.3106938836227,-4.851652740806442,2779.4672162418515,24405.920678934737
7,KFold,158,17,75,231,157,True,1e-12,1.9189950712973403e-13,1.0,40.2591551854888,-0.2090194809050343,866.6681065343676,-78.37812827690622,2227.8593518658226,109382.87177881795
8,KFold,158,17,75,231,157,True,1e-12,1.3836685071030908e-13,1.0,12.19652487870996,-9.971496356666727,588.6761097411018,-35.62250392633209,336.5517305354625,75557.73084865567
9,KFold,158,17,75,231,157,True,1e-12,1.3481419088467635e-13,1.0,23.44872428085806,-0.08397721591308716,844.2578558033488,-74.3260927150884,830.9146051392249,80235.61324882464
10,KFold,158,17,75,231,157,True,1e-12,1.4666568363904932e-13,1.0,8.764826538582671,-7.238354191424877,544.1545940496667,-30.292468574955446,267.0984689717584,66081.57431160023
