repeat,seed,synth,downstream,regime,descriptor,r2,rmse
0,0,Bootstrapping,GBDT,AUG,A_hops_woody,-0.051303982734680176,0.4330683265422902
0,0,Bootstrapping,GBDT,AUG,A_esters_all,-0.06875455379486084,0.6428148708939584
0,0,Bootstrapping,GBDT,AUG,A_esters_ethac,-0.19724500179290771,0.5155013543045502
0,0,Bootstrapping,GBDT,AUG,A_esters_isoaa,0.03715437650680542,0.4881233265123974
0,0,Bootstrapping,GBDT,AUG,A_esters_flower,0.027236521244049072,0.42218366563299586
0,0,Bootstrapping,GBDT,AUG,A_esters_fruity,-0.040973782539367676,0.5548775307102847
0,0,Bootstrapping,GBDT,AUG,F_malt_all,0.40390413999557495,0.591405657386231
0,0,Bootstrapping,GBDT,AUG,F_malt_grain,-0.14012157917022705,0.43640741090657686
0,0,Bootstrapping,GBDT,AUG,F_malt_bread,0.26778388023376465,0.46947309035431783
0,0,Bootstrapping,GBDT,AUG,F_malt_cara,0.15584933757781982,0.5079954844690866
0,0,Bootstrapping,GBDT,AUG,F_malt_burn,0.45923519134521484,0.6187958343946363
0,0,Bootstrapping,GBDT,AUG,F_hops_all,0.051096320152282715,0.6139287264178662
0,0,Bootstrapping,GBDT,AUG,F_hops_citrus,-0.14181363582611084,0.5071611775767603
0,0,Bootstrapping,GBDT,AUG,F_hops_tropical,-0.2161087989807129,0.6137011845787194
0,0,Bootstrapping,GBDT,AUG,F_hops_noble,0.109702467918396,0.5629172102442935
0,0,Bootstrapping,GBDT,AUG,F_hops_woody,0.01116323471069336,0.42440406938524505
0,0,Bootstrapping,GBDT,AUG,F_esters_all,0.250432550907135,0.4979095868148663
0,0,Bootstrapping,GBDT,AUG,F_esters_ethac,0.3090488910675049,0.4230937660555953
0,0,Bootstrapping,GBDT,AUG,F_esters_isoaa,0.0245211124420166,0.5305820080130619
0,0,Bootstrapping,GBDT,AUG,F_esters_flower,-0.5066002607345581,0.49239635577522817
0,0,Bootstrapping,GBDT,AUG,F_esters_fruity,0.17495810985565186,0.5112469951942393
0,0,Bootstrapping,GBDT,AUG,acidity,0.6903209686279297,0.5209593683972032
0,0,Bootstrapping,GBDT,AUG,bitternes,0.5671813488006592,0.4811513750156741
0,0,Bootstrapping,GBDT,AUG,sweetness,0.51235032081604,0.4648699552698738
0,0,Bootstrapping,GBDT,AUG,X4vg,0.1643405556678772,0.5216228858361912
0,0,Bootstrapping,GBDT,AUG,diacetyl,-0.5070360898971558,0.4892341927863112
0,0,Bootstrapping,GBDT,AUG,dms,0.17496627569198608,0.5193139102047559
0,0,Bootstrapping,GBDT,AUG,metallic,0.09275394678115845,0.4177581399093748
0,0,Bootstrapping,GBDT,AUG,stale_hops,-0.023867249488830566,0.4661416438960484
0,0,Bootstrapping,GBDT,AUG,t2n,-0.2107534408569336,0.4467506108858856
0,0,Bootstrapping,GBDT,AUG,orange,0.20671671628952026,0.3312098159348144
0,0,Bootstrapping,GBDT,AUG,coriander,0.164658784866333,0.596669148603353
0,0,Bootstrapping,GBDT,AUG,clove,-0.28710150718688965,0.48500857908487227
0,0,Bootstrapping,GBDT,AUG,lactic,0.6026577949523926,0.6113464303977972
0,0,Bootstrapping,GBDT,AUG,acetic,0.7304104566574097,0.42594089489911197
0,0,Bootstrapping,GBDT,AUG,barnyard,-0.10850238800048828,0.49572980852507015
0,0,Bootstrapping,GBDT,AUG,alcohol,0.7991736531257629,0.3588698610252081
0,0,Bootstrapping,GBDT,AUG,aftertaste,0.48019349575042725,0.505796922046713
0,0,Bootstrapping,GBDT,AUG,body,0.5316470265388489,0.43873372852007864
0,0,Bootstrapping,GBDT,AUG,co2,0.22878491878509521,0.49764447879493795
0,0,Bootstrapping,GBDT,AUG,overall,-0.008538246154785156,0.5913322059711273
0,0,Bootstrapping,MLP,TSTR,A_malt_all,0.1130332350730896,0.8039137073463828
0,0,Bootstrapping,MLP,TSTR,A_malt_grain,-0.7478318214416504,0.5966305626658436
