feature,ks_stat,p_value
acetaldehyde,0.445,3.254503288984146e-24
CS2,0.84,4.629182406629739e-97
DES,0.65,1.0416327773836718e-53
DMS,0.475,1.1207782114037702e-27
ethyl_2.methyl_butyrate,0.545,7.831498013049587e-37
ethyl_acetate,0.5075,9.800781310234099e-32
ethyl_decanoate,0.5275,2.1348582817375103e-34
ethyl_hexanoate,0.4925,8.030852946398541e-30
ethyl_isovalerate,0.675,2.3395839594950903e-58
ethyl_octanoate,0.5775,1.2512594221447655e-41
ethyl_propionate,0.4875,3.365860681861523e-29
H2S,0.525,4.667935951317562e-34
isoamyl_alcohol,0.36,8.515654129464636e-16
isobutanol,0.4725,2.230110088045613e-27
isobutyl_acetate,0.5625,2.270603854108765e-39
isopentyl_acetate,0.5575,1.2353721885733534e-38
MeSH,0.43,1.3971797968015688e-22
octyl_acetate,0.4975,1.882405282687646e-30
phenethyl_acetate,0.4625,3.348313960584187e-26
phenethyl_alcohol,0.5875,3.5279520042640636e-43
X4VG,0.69,2.8193424169970363e-61
SO2.mg.L.,0.41,1.6687787389791512e-20
acetic_acid.g.L.,0.5,9.052730306573787e-31
ammonia.mg.L.,0.47,4.418291595499353e-27
color.EBC.,0.515,1.0186351259442479e-32
betaglucan.mg.L.,0.58,5.166819091035238e-42
lactic_acid.mg.L.,0.6025,1.4295413865880934e-45
glycerol,0.4025,9.383029053607102e-20
iron,0.465,1.7119792239056996e-26
pH,0.52,2.2008103362585922e-33
protein.g.L.,0.39,1.5402477576918038e-18
bitterness,0.525,4.667935951317562e-34
GFS,0.555,2.86041310015717e-38
ethanol..v.v.,0.4575,1.2645074638258938e-25
CO2.PSI.,0.6425,2.2993012413338352e-52
unfermentables,0.5575,1.2353721885733534e-38
kcalperc,0.4075,2.9793621192972874e-20
X1.propanol,0.435,4.0569152225584435e-23
X2.3.butanedione,,
X3.methylbutanal,,
propylene.glycol,0.7,2.802907618875752e-63
propyl.acetate,0.6075,2.184646526704977e-46
n.pentanol,0.44,1.1586535699306233e-23
X2.methyl.1.butanol,0.355,2.310935718924183e-15
isopentyl.formate,0.3575,1.405515040248195e-15
ethyl.isobutyrate,,
X3.methyl.2.butenal,0.485,6.845210352961305e-29
X2.methyltetrahydrofuran.3.one,0.9475,1.2096792713599652e-134
ethyl.butyrate,0.5575,1.2353721885733534e-38
butyl.acetate,0.37,1.104142253234075e-16
methylpyrazine,,
furfural,,
ethyl.lactate,0.795,7.234433878401427e-85
X3Z.hexenol,0.795,7.234433878401427e-85
n.hexanol,0.5025,4.334086283842866e-31
styrene,0.6775,7.754692001738141e-59
X2.furanmethanol,0.2875,3.7763805960602245e-10
X3.methyl.2.hexanol,0.47,4.418291595499353e-27
X3.furanmethanol,0.54,3.981156939946004e-36
X2.acetylfuran,0.3,5.0141468449795066e-11
X2.6.dimethyl.pyrazine,0.64,6.375300242092356e-52
amyl.acetate,,
ethyl.tiglate,0.6675,6.188263587147177e-57
benzaldehyde,0.7325,4.064611288094179e-70
X5.methylfurfural,0.6275,9.588477584078043e-50
n.heptanol,0.4825,1.3860159973692675e-28
X1.octen.3.ol,0.34,4.214337327417989e-14
X3.methylthio.propanol,0.8175,8.909825672526691e-91
isomaltol,0.7575,9.532385740028335e-76
X6.methyl.5.hepten.2.one,0.845,1.633807538740883e-98
X2.pentyl.furan,0.81,9.103498222529887e-89
ethyl.hex..3E..enoate,0.4375,2.1725787602820942e-23
