target,pc_index_1based_kept,pc_index_1based_full,eigenvalue,evr,coef,intercept,train_rmse,train_r2,test_rmse,test_r2
A_malt_all,1,1,33.276548823089044,0.14323115634427935,-0.014256887420304287,0.01485224564571431,0.6662437212036342,0.014924580821906952,0.7892317345905445,0.043233331061544034
A_malt_all,2,2,18.993376531507604,0.08175256688886388,0.03960921396236593,0.01485224564571432,0.6488278359039791,0.06575201239347994,0.8028330881768015,0.009971983885255886
A_malt_all,3,3,13.545194736908474,0.05830213690097895,0.003910462836894772,0.01485224564571429,0.6711183598897759,0.00045704188518147504,0.8081412778247965,-0.0031630748330293557
A_malt_all,4,4,11.331805194940767,0.048775116980078984,0.054264949798780236,0.014852245645714267,0.6460865902776634,0.07362958191749858,0.9544526740400562,-0.3992836383513121
A_malt_all,5,5,9.45438705933399,0.040694207750751124,-0.0009525923329490928,0.014852245645714291,0.6712654232970282,1.893049477508235e-05,0.8134835497366852,-0.01646986571395126
A_malt_all,6,6,7.286404531681817,0.03136263175046718,0.05508704408100051,0.014852245645714291,0.6546914947162771,0.04878953070336145,1.8571699289056003,-4.297857150343214
A_malt_all,7,7,6.841401450017579,0.029447219599333545,-0.0009364224318387983,0.014852245645714291,0.6712673341149847,1.3237412911815127e-05,0.8112906615238779,-0.010997104893196497
A_malt_all,8,8,5.894338989064857,0.025370809748850587,-0.045478544507604794,0.014852245645714308,0.6621814051933482,0.026900642104161543,1.083273557497818,-0.8024915705870568
A_malt_all,9,9,5.4895726777211715,0.023628587406888897,-0.007923573969862359,0.014852245645714282,0.6710164798043634,0.000760492955931058,0.8283839845056922,-0.05404789615129313
A_malt_all,10,10,4.832061176185845,0.020798482242580997,0.007262473733294788,0.01485224564571429,0.671083001654216,0.0005623620387315009,0.8184613543182043,-0.028947731027193724
A_malt_all,11,11,4.383314666606854,0.01886695737760278,0.07014543054428773,0.014852245645714267,0.6551041611443134,0.047590015081691917,1.0599440317736732,-0.7256901713067818
A_malt_all,12,12,3.702816177625989,0.015937910078093306,-0.020355722502036305,0.014852245645714295,0.6701345267999785,0.003385475064479726,0.8521805268644238,-0.11547584370418473
