pc_index_1based,eigenvalue,explained_variance_ratio,kept
1,33.276548823089044,0.14323115634427935,True
2,18.993376531507604,0.08175256688886388,True
3,13.545194736908474,0.05830213690097895,True
4,11.331805194940767,0.048775116980078984,True
5,9.45438705933399,0.040694207750751124,True
6,7.286404531681817,0.03136263175046718,True
7,6.841401450017579,0.029447219599333545,True
8,5.894338989064857,0.025370809748850587,True
9,5.4895726777211715,0.023628587406888897,True
10,4.832061176185845,0.020798482242580997,True
11,4.383314666606854,0.01886695737760278,True
12,3.702816177625989,0.015937910078093306,True
13,3.6372389055710395,0.015655647979452337,True
14,3.320519093480101,0.01429240129290136,True
15,3.0995750706419116,0.013341399190889116,True
16,2.9944844126721613,0.012889060922818947,True
17,2.835193416915173,0.012203429920673841,True
18,2.811988572614195,0.012103550071363508,True
19,2.642787236139327,0.011375262315108048,True
20,2.5174618342412147,0.01083582830322749,True
21,2.355795283146291,0.010139972276251194,True
22,2.3276533586627237,0.010018841914837696,True
23,2.2519267539731596,0.009692894377027327,True
24,2.1409276566935853,0.0092151246076607,True
25,2.0619953390939854,0.008875378825042756,True
26,2.0190904580673434,0.008690704754575576,True
27,1.938381789063368,0.008343313080940655,True
28,1.9355425295858428,0.00833109214960882,True
29,1.8456280608235607,0.007944076254379703,True
30,1.7954555031501611,0.007728120161982139,True
31,1.7669514553930887,0.007605431125254109,True
32,1.7130806714526785,0.007373556878979988,True
33,1.5941900888196798,0.006861820048351867,True
34,1.580582615961668,0.006803249849779349,True
35,1.49915077242777,0.006452745439763313,True
36,1.4487161870049226,0.006235661509928422,True
37,1.4348816047509763,0.006176113771840935,True
38,1.4046655562384334,0.0060460558264808254,True
39,1.3819623178331806,0.005948335022955433,True
40,1.318496380950985,0.0056751606749652775,True
41,1.2769491345747037,0.005496330226740839,True
42,1.255720404848894,0.005404956102503587,True
43,1.2052848950466335,0.005187868193892744,True
44,1.155571006972621,0.00497388633798976,True
45,1.1359518750886102,0.004889440352886039,True
46,1.1263267668504144,0.0048480113155713565,True
47,1.1013439278573889,0.004740478502094882,True
48,1.072255482517128,0.004615274062040328,True
49,1.0562361022533222,0.004546322369624689,True
50,1.0296691782332121,0.004431971230985253,True
51,0.9645910051163866,0.0041518573875139455,True
52,0.9382035888706446,0.004038278898292941,True
53,0.9326341188083077,0.004014306411197168,True
54,0.9190804381071087,0.00395596774843876,True
55,0.9084065093222412,0.003910024307286826,True
56,0.8711000307818646,0.003749447256797635,True
57,0.844587434595947,0.003635329959670866,True
58,0.8337089469250283,0.0035885060424231266,True
59,0.8213598636507362,0.0035353522888120735,True
60,0.7889342692592156,0.0033957838676834506,True
61,0.7706106365714271,0.0033169140572276634,True
62,0.7555738382193433,0.003252191659868045,True
63,0.7347752395314049,0.003162668934532206,True
64,0.7082874418610284,0.0030486583768415316,True
65,0.688020226856627,0.0029614228688448502,True
66,0.6772016658621743,0.0029148568920227165,True
67,0.6634921720629949,0.002855847568063354,True
68,0.6409585241701791,0.002758856727411531,True
69,0.6285796789101241,0.0027055748702625,True
