Method,N_Train,R2,Gain
1. Baseline (Real Only),200,0.23215895317029805,0.0
2. Joint Aug (Full),600,0.20517887611247193,-0.026980077057826124
3. 2-Stage (Full),600,0.2215308494023363,-0.01062810376796175
4. 2-Stage (Optimal 0.25x),250,0.2430097282116743,0.010850775041376243
