tasting_category_fine,fold_train,fold_val,outer_test
Blond,21,1,9
Tripel,18,2,8
Strong ale,13,0,5
Hoppy,10,2,5
Brown,8,0,4
Wheat,8,0,4
Stout/Porter,7,2,4
Amber,7,1,4
Pils/Lager,7,1,3
Kriek,7,0,3
Lambic,7,1,3
Fruitbeer,6,0,2
Saison,6,1,3
Low/No alcohol,6,0,2
West Flanders ale,5,0,2
Dubbel,5,2,3
Christmas,3,3,3
Flanders old brown,3,0,2
Brut,3,0,1
Brett/cofermented,3,1,2
Scotch,2,1,2
Faro,2,0,1
