Ratio,N_Aug,R2_Score,Gain
0.1,20,0.23582208789000234,0.0036631347197042807
0.25,50,0.2420900618911393,0.009931108720841242
0.5,100,0.23505561580483725,0.0028966626345391933
0.75,150,0.23147037448964894,-0.0006885786806491156
1.0,200,0.22959844871361132,-0.002560504456686735
1.5,300,0.215692338718937,-0.01646661445136105
2.0,400,0.21798453394456302,-0.014174419225735035
