Method,mean,std,min,max
Copula (Complex),0.23744545642904477,0.005271399267527975,0.2301837429374802,0.24397083879499973
Mixup (Fundamental),0.2373005057666334,0.003630150067840077,0.2315963488440989,0.24356085689312287
Baseline (None),0.2321589531702981,3.335805035405601e-17,0.23215895317029805,0.2321589531702981
Gaussian Noise (Simple),0.22964993730786235,0.004822103312415252,0.22173421908653743,0.2396710671953926
