Metric,Mean,Std,Threshold_95
PCD (Correlation Diff),0.09886080323915637,0.005057424568815573,0.10713897668036751
DCR Median (Natural Gap),13.132334189807262,0.38844522718106744,13.735242664606593
DCR 5th (Too Close Limit),10.194895490577746,0.2541657544486597,9.862418000076719
