Model,R2_Score,MSE,Gain_R2
Baseline,0.23215895317029805,0.24036907795328297,0.0
Track A (Rand),0.20517887611247193,0.24678958719158636,-0.026980077057826124
Track B (Filt),0.20517887611247193,0.24678958719158636,-0.026980077057826124
Track C (2-Stage),0.2215308494023363,0.24367327104012548,-0.01062810376796175
Track C (2-Stage),0.21936185414169493,0.24376693596480642,-0.012797099028603126
