pc_index_1based_full,eigenvalue,explained_variance_ratio,explained_variance_ratio_percent,kept_nonzero
1,32.5096448553014,0.13983799590335616,13.983799590335616,True
2,18.277607142369398,0.07861986693715017,7.861986693715018,True
3,13.558859664088285,0.05832250000269589,5.832250000269589,True
4,11.207296003438765,0.04820741104961665,4.820741104961665,True
5,10.21908444274157,0.04395668715547701,4.395668715547701,True
6,7.5995464912206225,0.032688925266231475,3.2688925266231474,True
7,7.314444028462744,0.03146257667963129,3.1462576679631287,True
8,6.0857572132379465,0.026177465058182907,2.6177465058182907,True
9,5.742964822669761,0.024702967224652785,2.4702967224652785,True
10,5.109156473868386,0.021976684311453058,2.197668431145306,True
11,4.639225236132278,0.019955307492669237,1.9955307492669236,True
12,3.9483078111829553,0.01698337382591725,1.6983373825917252,True
13,3.6052388399263258,0.015507686299625187,1.5507686299625187,True
14,3.5022280322305273,0.015064592412605458,1.5064592412605458,True
15,3.2177820177296392,0.01384106749292259,1.384106749292259,True
16,3.1563222201446672,0.01357670241107806,1.357670241107806,True
17,3.1096059843633643,0.013375755743808,1.3375755743808,True
18,2.9022264177641577,0.012483726836275636,1.2483726836275637,True
19,2.7394378846104814,0.011783503184692283,1.1783503184692283,True
20,2.5714681103479924,0.01106099278171028,1.106099278171028,True
21,2.5591989196245843,0.011008217703737146,1.1008217703737146,True
22,2.3859018046385083,0.01026279211193667,1.026279211193667,True
23,2.379460585210984,0.01023508565067178,1.023508565067178,True
24,2.235541781705718,0.009616028840160254,0.9616028840160254,True
25,2.1122711016592444,0.009085788509081039,0.9085788509081039,True
26,2.054161684196926,0.008835834856335522,0.8835834856335523,True
27,1.978125254353472,0.008508769395845854,0.8508769395845853,True
28,1.9531727608906686,0.008401437965614588,0.8401437965614588,True
29,1.84238997089601,0.007924913432590991,0.7924913432590991,True
30,1.7821784455408942,0.007665917707678591,0.7665917707678591,True
31,1.7038085290874616,0.007328814915422945,0.7328814915422945,True
32,1.6677600478176036,0.007173754858674445,0.7173754858674445,True
33,1.5986679432058188,0.006876559934378573,0.6876559934378573,True
34,1.565332642852168,0.006733170438275517,0.6733170438275516,True
35,1.5367890022982884,0.0066103919364307205,0.6610391936430721,True
