STANDARDIZE_BEFORE_PCA=True
n_train=175, p=231
eig_tol=1e-12
kept=174, dropped=57

PC_index	Eigenvalue	EVR(%)	Kept
174	5.240464e-03	0.00225564	True
175	2.068065e-15	0.00000000	False
176	1.935896e-15	0.00000000	False
177	1.494194e-15	0.00000000	False
178	1.467360e-15	0.00000000	False
179	1.307815e-15	0.00000000	False
180	1.136150e-15	0.00000000	False
181	1.058879e-15	0.00000000	False
182	1.032797e-15	0.00000000	False
183	1.025875e-15	0.00000000	False
184	9.345836e-16	0.00000000	False
185	8.318287e-16	0.00000000	False
186	7.886184e-16	0.00000000	False
187	7.257562e-16	0.00000000	False
188	6.698971e-16	0.00000000	False
189	6.357224e-16	0.00000000	False
190	4.804139e-16	0.00000000	False
191	4.418491e-16	0.00000000	False
192	3.889113e-16	0.00000000	False
193	3.848077e-16	0.00000000	False
194	3.808088e-16	0.00000000	False
195	2.648045e-16	0.00000000	False
196	2.553407e-16	0.00000000	False
197	2.012051e-16	0.00000000	False
198	1.795111e-16	0.00000000	False
199	1.520653e-16	0.00000000	False
200	1.314178e-16	0.00000000	False
201	2.697345e-17	0.00000000	False
202	0.000000e+00	0.00000000	False
203	0.000000e+00	0.00000000	False
204	0.000000e+00	0.00000000	False
205	0.000000e+00	0.00000000	False
206	0.000000e+00	0.00000000	False
207	0.000000e+00	0.00000000	False
208	0.000000e+00	0.00000000	False
209	0.000000e+00	0.00000000	False
210	0.000000e+00	0.00000000	False
211	0.000000e+00	0.00000000	False
212	0.000000e+00	0.00000000	False
213	0.000000e+00	0.00000000	False
214	0.000000e+00	0.00000000	False
215	0.000000e+00	0.00000000	False
216	0.000000e+00	0.00000000	False
217	0.000000e+00	0.00000000	False
218	0.000000e+00	0.00000000	False
219	0.000000e+00	0.00000000	False
220	0.000000e+00	0.00000000	False
221	0.000000e+00	0.00000000	False
222	0.000000e+00	0.00000000	False
223	0.000000e+00	0.00000000	False
224	0.000000e+00	0.00000000	False
225	0.000000e+00	0.00000000	False
226	0.000000e+00	0.00000000	False
227	0.000000e+00	0.00000000	False
228	0.000000e+00	0.00000000	False
229	0.000000e+00	0.00000000	False
230	0.000000e+00	0.00000000	False
231	0.000000e+00	0.00000000	False
