pc,explained_variance_ratio,cumulative_evr
1,0.14514215764509786,0.14514215764509786
2,0.07968041539550483,0.22482257304060269
3,0.060062215694612654,0.28488478873521533
4,0.043103615049856714,0.32798840378507205
5,0.04086064861513998,0.36884905240021204
6,0.031994064340389865,0.4008431167406019
7,0.03194571409695916,0.4327888308375611
8,0.02534548115988117,0.45813431199744226
9,0.022680888708192078,0.4808152007056343
10,0.02031784233225725,0.5011330430378915
11,0.018179600273663804,0.5193126433115554
12,0.016754579079870907,0.5360672223914262
13,0.014518961666667494,0.5505861840580937
14,0.013989257489478837,0.5645754415475726
15,0.013219122630810314,0.5777945641783828
16,0.012564103140487969,0.5903586673188708
17,0.012197484704890455,0.6025561520237612
18,0.011599467584024619,0.6141556196077859
19,0.01152240046738799,0.6256780200751738
20,0.011137195689291663,0.6368152157644654
21,0.010602272603057574,0.647417488367523
22,0.010124169448770495,0.6575416578162935
23,0.009751733613075153,0.6672933914293686
24,0.00936021158365112,0.6766536030130197
25,0.009014105693613252,0.685667708706633
26,0.008800616138338366,0.6944683248449713
27,0.00855263111746397,0.7030209559624353
28,0.008240883036090576,0.7112618389985259
29,0.00803465627062621,0.7192964952691521
30,0.007742586116234256,0.7270390813853863
31,0.007614480513209316,0.7346535618985957
32,0.007375731323709985,0.7420292932223056
33,0.00710857493858924,0.7491378681608948
34,0.006983032627295185,0.7561209007881899
35,0.0066852343769952804,0.7628061351651853
36,0.006176342689239837,0.7689824778544251
37,0.006060736577237668,0.7750432144316628
38,0.005899356057689432,0.7809425704893522
39,0.005853977324179756,0.786796547813532
40,0.005592865270265213,0.7923894130837973
41,0.005563816550672031,0.7979532296344694
42,0.005380197055965545,0.803333426690435
43,0.005229769712834768,0.8085631964032697
44,0.0051324955817231305,0.8136956919849928
45,0.0050497757670347485,0.8187454677520276
46,0.004941679205339301,0.8236871469573669
47,0.004707329945796618,0.8283944769031635
48,0.004605432526566678,0.8329999094297301
49,0.004535010920499756,0.8375349203502299
50,0.00440762594946889,0.8419425462996988
51,0.0043465019866902,0.846289048286389
52,0.004283374087748091,0.850572422374137
53,0.004201900210665494,0.8547743225848025
54,0.004096351785560736,0.8588706743703632
55,0.0038939541005918467,0.8627646284709551
56,0.0038073179551020536,0.8665719464260572
57,0.0037327566038851847,0.8703047030299423
58,0.003648736078669184,0.8739534391086116
59,0.003549125170555874,0.8775025642791674
60,0.003504120511194416,0.8810066847903618
61,0.0034003820695008894,0.8844070668598627
62,0.0032458706626683925,0.887652937522531
63,0.0032402541853905373,0.8908931917079216
64,0.003114123056403852,0.8940073147643255
65,0.003041129041269846,0.8970484438055953
66,0.0029941872419393233,0.9000426310475347
67,0.0029555917929963353,0.902998222840531
68,0.0028620277561279437,0.905860250596659
69,0.0028145752161284152,0.9086748258127874
70,0.0027354007877837955,0.9114102266005711
71,0.002686055838189266,0.9140962824387604
72,0.0025859378145924056,0.9166822202533528
73,0.002504005649914959,0.9191862259032677
74,0.0024670013111367235,0.9216532272144045
75,0.002391114067379918,0.9240443412817844
76,0.002342863711503737,0.9263872049932881
77,0.002315667503208648,0.9287028724964967
78,0.002264531882036262,0.930967404378533
79,0.0022130592399059,0.9331804636184389
80,0.0020948493522615643,0.9352753129707004
81,0.0020830195713733893,0.9373583325420738
82,0.0020559963806922803,0.9394143289227661
83,0.00201767134059279,0.9414320002633589
84,0.0019242470153306318,0.9433562472786896
85,0.0018677389793133638,0.945223986258003
86,0.001801514405078762,0.9470255006630818
87,0.001772275090917087,0.9487977757539988
88,0.001743535785829065,0.9505413115398279
89,0.001705929882267051,0.9522472414220949
90,0.0016542523438700558,0.953901493765965
91,0.0016324895447016891,0.9555339833106667
92,0.001572766712216062,0.9571067500228828
93,0.0015310018651316982,0.9586377518880145
94,0.0014728662630962364,0.9601106181511108
95,0.0014351944971135971,0.9615458126482244
96,0.0013772529844969055,0.9629230656327212
97,0.0013555829729419676,0.9642786486056631
98,0.001259976615240453,0.9655386252209036
99,0.0012345923945940513,0.9667732176154976
100,0.0012222733807413131,0.9679954909962389
101,0.0011851499450707514,0.9691806409413097
102,0.0011577277855025242,0.9703383687268122
103,0.001145292456478477,0.9714836611832907
104,0.0010540880397647368,0.9725377492230554
105,0.0010421011539939273,0.9735798503770493
106,0.0010277648714176653,0.974607615248467
107,0.0010161949760492503,0.9756238102245162
108,0.000965969892706299,0.9765897801172224
109,0.0009387705136748644,0.9775285506308973
110,0.0009291838159691469,0.9784577344468665
111,0.000890784132264407,0.9793485185791309
112,0.000875738869997575,0.9802242574491284
113,0.0008567921310189025,0.9810810495801473
114,0.0008010164591075389,0.9818820660392549
115,0.000776405540480418,0.9826584715797353
116,0.0007645229491085254,0.9834229945288439
117,0.0007376669171093114,0.9841606614459532
118,0.0006986475637931951,0.9848593090097464
119,0.0006903936587884466,0.9855497026685348
120,0.0006679084947711625,0.986217611163306
121,0.0006474967319123437,0.9868651078952183
122,0.0006187468943218826,0.9874838547895401
123,0.000602975434386881,0.9880868302239271
124,0.0005891756082485406,0.9886760058321756
125,0.0005844412707272991,0.989260447102903
126,0.0005428982965457434,0.9898033453994487
127,0.0005116219184415413,0.9903149673178903
128,0.0004971508985490896,0.9908121182164393
129,0.00047848280416271604,0.9912906010206021
130,0.00044794514384434707,0.9917385461644465
131,0.0004427057729700791,0.9921812519374166
132,0.00042976192623899666,0.9926110138636556
133,0.0004208462047186818,0.9930318600683743
134,0.0004000783314827154,0.993431938399857
135,0.0003757314670718968,0.9938076698669289
136,0.00037282613213199446,0.9941804959990609
137,0.00034804914271438503,0.9945285451417752
138,0.0003265227975565511,0.9948550679393318
139,0.00031026636752415706,0.9951653343068559
140,0.0003022881943495087,0.9954676225012055
141,0.00029031607083925806,0.9957579385720448
142,0.0002747504108335187,0.9960326889828782
143,0.0002673988663209215,0.9963000878491991
144,0.00025412625822247896,0.9965542141074216
145,0.00024962669201074246,0.9968038407994324
146,0.0002396467368650978,0.9970434875362975
147,0.00023126275768343946,0.9972747502939809
148,0.00021305047831519873,0.9974878007722962
149,0.0001901623815795391,0.9976779631538757
150,0.00018475040610640395,0.9978627135599821
151,0.00017429768050687233,0.998037011240489
152,0.00016961617208641409,0.9982066274125755
153,0.0001605610147268242,0.9983671884273023
154,0.00014876950267852444,0.9985159579299808
155,0.00014622241250932563,0.9986621803424901
156,0.0001334395595974076,0.9987956199020875
157,0.00012479498784505834,0.9989204148899326
158,0.0001173077707076572,0.9990377226606402
159,0.00010346113297376505,0.9991411837936139
160,9.796242600953914e-05,0.9992391462196235
161,9.416157803601935e-05,0.9993333077976595
162,9.269784967838524e-05,0.9994260056473379
163,8.06975052414963e-05,0.9995067031525794
164,7.334020628097745e-05,0.9995800433588604
165,6.707906434569536e-05,0.9996471224232061
166,6.035360477617434e-05,0.9997074760279823
167,5.467377175530422e-05,0.9997621497997375
168,5.1290594738754595e-05,0.9998134403944763
169,4.454641541719204e-05,0.9998579868098935
170,4.261768725587925e-05,0.9999006044971493
171,3.0105328335034583e-05,0.9999307098254844
172,2.6626806528102722e-05,0.9999573366320125
173,2.4749301023076003e-05,0.9999820859330355
174,1.791406696426798e-05,0.9999999999999998
