k,train_recon_mse,test_recon_mse,cum_evr
1,0.8548578423549024,0.8650057262474735,0.14514215764509786
2,0.7751774269593974,0.7922201094888954,0.22482257304060269
5,0.6311509475997877,0.6845565652485865,0.36884905240021204
10,0.49886695696210825,0.5925875950452993,0.5011330430378915
20,0.36318478423553424,0.5139171833918952,0.6368152157644655
50,0.158057453700301,0.3926191091536274,0.8419425462996989
100,0.03200450900376083,0.25582326573394537,0.9679954909962392
174,4.075958164319599e-30,0.09062739648476353,1.0
