tasting_category_fine,fold_train,fold_val,outer_test
Blond,21,1,9
Tripel,17,3,8
Strong ale,12,1,5
Hoppy,11,1,5
Amber,8,0,4
Stout/Porter,8,1,4
Pils/Lager,7,1,3
Kriek,7,0,3
Wheat,7,1,4
Saison,7,0,3
Dubbel,6,1,3
Lambic,6,2,3
Christmas,6,0,3
Fruitbeer,6,0,2
Brown,5,3,4
West Flanders ale,5,0,2
Brett/cofermented,4,0,2
Low/No alcohol,4,2,2
Flanders old brown,3,0,2
Brut,3,0,1
Scotch,3,0,2
Faro,2,0,1
