target,target_index_1based,k,cum_evr_percent,train_rmse,train_r2,train_accuracy,test_rmse,test_r2,test_accuracy,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
barnyard,45,1,14.323115634427936,0.43903133597574034,0.009831719458513355,0.09915502739908662,0.4643837326720916,-0.004599911661252731,0.0736939382724962,0.4338980035672403,0.08844114583402696,-0.00408361882982784,0.01808259872336431
barnyard,45,2,22.498372323314324,0.4389445440114795,0.010223172862329655,0.10110970706282403,0.46443325908267996,-0.00481420375350039,0.07220466603395616,0.4368796867952779,0.0917884890991224,-0.016076842221938104,0.03348448510791196
barnyard,45,3,28.32858601341222,0.4381408102290582,0.013844535807324476,0.11766280553906898,0.5054824596930687,-0.1902859843612823,-0.05036900616717167,0.4383450839379842,0.09054953291763239,-0.023899008705892455,0.03434491712507099
barnyard,45,4,33.20609771142012,0.4207169079696384,0.09071944582393754,0.3011966895965786,0.4798401911426613,-0.07258663817450928,0.09216358189888832,0.4198134720166662,0.09678797652354086,0.06648090753374727,0.08083524653173162
barnyard,45,5,37.27551848649523,0.4184288289943238,0.10058283966093928,0.31714797754508767,0.738152128161572,-1.5382295274051963,0.08249848630104958,0.4202354263080876,0.10049005940317862,0.06615360176700354,0.10973928029956995
barnyard,45,6,40.411781661541944,0.41842454169468013,0.10060127075769376,0.31717703378033835,0.7212364036264044,-1.4232287773349817,0.0827051401193442,0.4272542229388473,0.10610443905384367,0.03581208719868425,0.1399846387300962
barnyard,45,7,43.3565036214753,0.4068835121224158,0.14953165299879878,0.38669322854014243,1.1575623825525259,-5.242060154274806,0.07830042994730894,0.42178894945248013,0.09025098489490188,0.05270314366314148,0.07778951620760882
barnyard,45,8,45.89358459636036,0.4068103845910301,0.14983732801421767,0.387088269021702,1.1072234958603255,-4.710967989452186,0.07946086476568773,0.4240328081732326,0.09040412879499934,0.042501138379415916,0.08051266301305562
barnyard,45,9,48.25644333704925,0.40677811004786074,0.14997221898292434,0.3872624678211468,1.0494327157518972,-4.1303658696430325,0.08005487324864878,0.4306885270910722,0.09097559885014002,0.01229480929424227,0.05454436453181201
barnyard,45,10,50.33629156130735,0.40446392958128247,0.1596164064369452,0.3995202203104936,1.1429588700095437,-5.0855571361303005,0.08277138327776427,0.4319958362554372,0.08690080282137734,0.003476870278504318,0.025871958651608375
