tasting_category_fine,fold_train,fold_val,outer_test
Blond,20,2,9
Tripel,19,1,8
Strong ale,13,0,5
Hoppy,12,0,5
Stout/Porter,8,1,4
Wheat,7,1,4
Dubbel,7,0,3
Lambic,7,1,3
Pils/Lager,7,1,3
Amber,6,2,4
Low/No alcohol,6,0,2
Saison,6,1,3
Brown,6,2,4
Kriek,6,1,3
Fruitbeer,5,1,2
West Flanders ale,5,0,2
Christmas,5,1,3
Brett/cofermented,4,0,2
Brut,3,0,1
Flanders old brown,2,1,2
Faro,2,0,1
Scotch,2,1,2
