tasting_category_fine,fold_train,fold_val,outer_test
Blond,19,3,9
Tripel,18,2,8
Hoppy,12,0,5
Strong ale,12,1,5
Stout/Porter,9,0,4
Lambic,8,0,3
Brown,8,0,4
Amber,8,0,4
Pils/Lager,7,1,3
Saison,7,0,3
Dubbel,6,1,3
Low/No alcohol,6,0,2
Fruitbeer,6,0,2
West Flanders ale,5,0,2
Kriek,5,2,3
Christmas,5,1,3
Wheat,4,4,4
Brut,3,0,1
Brett/cofermented,3,1,2
Flanders old brown,3,0,2
Faro,2,0,1
Scotch,2,1,2
