synth,repeat_mean,seed_mean,N_train_mean,N_synth_mean,fit_sec_mean,sample_sec_mean,ksX_ks_mean_mean,ksX_ks_median_mean,ksX_ks_p_pass_rate_0.05_mean,ksY_ks_mean_mean,ksY_ks_median_mean,ksY_ks_p_pass_rate_0.05_mean,pcd_xx_fro_pearson_mean,pcd_xy_fro_pearson_mean,pcd_xx_mean_abs_pearson_mean,pcd_xy_mean_abs_pearson_mean,pcd_xx_fro_spearman_mean,pcd_xy_fro_spearman_mean,pcd_xx_mean_abs_spearman_mean,pcd_xy_mean_abs_spearman_mean,dcr_syn_mean_mean,dcr_syn_median_mean,dcr_syn_q05_mean,dcr_syn_q95_mean,dcr_real_mean_mean,dcr_real_median_mean,dcr_real_q05_mean,dcr_real_q95_mean,dcr_ratio_mean_mean,dcr_mem_rate_at_real_q05_mean,tstr_GBDT_r2_mean_mean,tstr_GBDT_r2_median_mean,tstr_GBDT_rmse_mean_mean,tstr_GBDT_rmse_median_mean,aug_GBDT_r2_mean_mean,aug_GBDT_r2_median_mean,aug_GBDT_rmse_mean_mean,aug_GBDT_rmse_median_mean,aug_gain_GBDT_r2_mean_mean,aug_gain_GBDT_rmse_mean_mean,tstr_MLP_r2_mean_mean,tstr_MLP_r2_median_mean,tstr_MLP_rmse_mean_mean,tstr_MLP_rmse_median_mean,aug_MLP_r2_mean_mean,aug_MLP_r2_median_mean,aug_MLP_rmse_mean_mean,aug_MLP_rmse_median_mean,aug_gain_MLP_r2_mean_mean,aug_gain_MLP_rmse_mean_mean,repeat_std,seed_std,N_train_std,N_synth_std,fit_sec_std,sample_sec_std,ksX_ks_mean_std,ksX_ks_median_std,ksX_ks_p_pass_rate_0.05_std,ksY_ks_mean_std,ksY_ks_median_std,ksY_ks_p_pass_rate_0.05_std,pcd_xx_fro_pearson_std,pcd_xy_fro_pearson_std,pcd_xx_mean_abs_pearson_std,pcd_xy_mean_abs_pearson_std,pcd_xx_fro_spearman_std,pcd_xy_fro_spearman_std,pcd_xx_mean_abs_spearman_std,pcd_xy_mean_abs_spearman_std,dcr_syn_mean_std,dcr_syn_median_std,dcr_syn_q05_std,dcr_syn_q95_std,dcr_real_mean_std,dcr_real_median_std,dcr_real_q05_std,dcr_real_q95_std,dcr_ratio_mean_std,dcr_mem_rate_at_real_q05_std,tstr_GBDT_r2_mean_std,tstr_GBDT_r2_median_std,tstr_GBDT_rmse_mean_std,tstr_GBDT_rmse_median_std,aug_GBDT_r2_mean_std,aug_GBDT_r2_median_std,aug_GBDT_rmse_mean_std,aug_GBDT_rmse_median_std,aug_gain_GBDT_r2_mean_std,aug_gain_GBDT_rmse_mean_std,tstr_MLP_r2_mean_std,tstr_MLP_r2_median_std,tstr_MLP_rmse_mean_std,tstr_MLP_rmse_median_std,aug_MLP_r2_mean_std,aug_MLP_r2_median_std,aug_MLP_rmse_mean_std,aug_MLP_rmse_median_std,aug_gain_MLP_r2_mean_std,aug_gain_MLP_rmse_mean_std
Bootstrapping,1.0,1.0,200.0,400.0,0.0,0.0,0.050954454454454456,0.03875,0.9321789321789322,0.0472,0.04583333333333334,1.0,0.209136334558328,0.015829891276856262,0.0002841356326825917,6.78560839636096e-05,11.099519411722818,5.105614980061849,0.03869246567289034,0.0381365567445755,0.08989729235569636,0.057594855626424156,0.0,0.24113613540927567,3.3964903024832407,3.381177226702372,2.7008975863456723,4.2326800346374505,0.02647348745977841,1.0,0.11103804508845012,0.07820873459180196,0.5099598366987159,0.5082258911008127,0.12434972604115806,0.11342145999272664,0.5049574365093633,0.500179431371751,-0.042314810355504356,0.0011311804987706824,-0.23973796725273133,-0.15081860621770224,0.5999492674244693,0.5909054533306715,-0.2005944271882375,-0.16778717438379923,0.5956617032005834,0.5907468856798372,-0.10217173894246419,0.022014238238856176,0.816496580927726,0.816496580927726,0.0,0.0,0.0,0.0,0.0033867453022690007,0.0010206207261596585,0.014284985478516083,0.0022553639765383075,0.0005892556509887893,0.0,0.07485787925278987,0.0069255752817594975,0.0001749936686776191,4.299578919683944e-05,0.848632911243884,0.04574106672004347,0.0031199642041999584,0.00022536621454725622,0.008488518860148158,0.04250601897118628,0.0,0.00493082242298483,0.02241150983781397,0.04653334948570114,0.011065354113441504,0.029279298686159184,0.002561870222283457,0.0,0.03331231506759167,0.05802833512697352,0.021191305876957205,0.022188578347517248,0.024096530508878042,0.04378478700428798,0.017876221322295136,0.009297667483913575,0.025276000236981698,0.004269214097124859,0.10980851750981038,0.06394696291742341,0.034079106760907356,0.0235648308101921,0.04668118466100063,0.01925374088432996,0.021875133593588846,0.0011961521499049895,0.03776809384963359,0.006110533285677404
CTGAN,1.0,1.0,200.0,400.0,167.01399183273315,1.8257296085357666,0.35550225225225224,0.33958333333333335,0.004329004329004329,0.34450000000000003,0.35125,0.03333333333333333,0.1424929884572824,0.01746651118931671,0.00019765004071814474,7.580282666215983e-05,43.53845087687174,14.638273557027182,0.145029087861379,0.10507158686717351,4.219229380289714,4.218784173329671,3.837458574771881,4.5864960511525465,3.3964903024832407,3.381177226702372,2.7008975863456723,4.2326800346374505,1.242217543075235,0.0,-0.493861014842987,-0.30892010529836017,0.6837066332972079,0.6603123090422717,0.13772605776786803,0.09631906946500142,0.514873446023385,0.5020206617711825,-0.028938478628794354,0.0110471900127924,-0.6054160849253337,-0.4727003375689189,0.7084896629386193,0.6752581651920582,-0.1490330119927724,-0.10245166222254436,0.5865820812690212,0.5752824233343944,-0.05061032374699911,0.012934616307294014,0.816496580927726,0.816496580927726,0.0,0.0,19.934110249478795,0.18791887731447915,0.0030312041062040885,0.007240894665409469,0.0,0.010085963844207785,0.02245365597551248,0.024944382578492942,0.07113362740611745,0.010121900258243442,0.00012860918558492437,5.015731083941735e-05,0.3688273091818776,0.12184596399214691,0.0015482941983165795,0.0008931551878380923,0.07537166723666187,0.08097272028456429,0.08084943869033852,0.05546404794529971,0.02241150983781397,0.04653334948570114,0.011065354113441504,0.029279298686159184,0.019792678470307825,0.0,0.05967852515168881,0.006121937824055609,0.021564319212965692,0.020195871242824733,0.022772602373286276,0.015595557133397123,0.021282144130790798,0.013520944748493505,0.025684706276708373,0.0073258378789204685,0.0481558960702782,0.07028075141877196,0.015300501912031418,0.022739992340977812,0.1152977245887082,0.06687401704448108,0.02884632480413625,0.0416852879905848,0.11174982577571461,0.017678588992862752
GaussianCopula,1.0,1.0,200.0,400.0,0.15529878934224448,0.17099952697753906,0.05334124124124124,0.041666666666666664,0.9307359307359307,0.042800000000000005,0.04041666666666666,1.0,0.5665979981422424,0.03654878260567784,0.0006872637701841692,0.00019852827669334752,13.088889757792154,5.61055056254069,0.04490357140700022,0.041645705699920654,3.7616806825002036,3.725231726964315,3.0779541810353597,4.637312746047972,3.3964903024832407,3.381177226702372,2.7008975863456723,4.2326800346374505,1.1075411078560198,0.005,0.11171227256457011,0.05667951703071594,0.523128325553117,0.5028165026120333,0.1750813639163971,0.13062508900960287,0.49762852381148837,0.4857741444336458,0.008416827519734696,-0.0061977321991043,-0.32590301513671877,-0.18776913483937582,0.6298990321552489,0.6160240017398086,-0.20182795325915018,-0.07975850502649943,0.592232947255745,0.588572537184615,-0.10340526501337688,0.018585482294017797,0.816496580927726,0.816496580927726,0.0,0.0,0.034346516943758364,0.04300428009942746,0.003627693962672443,0.001178511301977581,0.012744243674354741,0.0015748015748023685,0.0021245914639969965,0.0,0.36958185969323853,0.023942164863425874,0.0004395959678365821,0.0001357123557246625,0.6117687724679267,0.0855922513289978,0.002157255043900065,0.0005515020151875494,0.021952124783000154,0.023781309260714527,0.005052444614100086,0.10172669805084145,0.02241150983781397,0.04653334948570114,0.011065354113441504,0.029279298686159184,0.005947751653894571,0.0020412414523193153,0.02635564195615224,0.02481000532877868,0.024076782216882413,0.01681722922495757,0.02044036785833923,0.02821815067310144,0.020470690086313262,0.005326708218061336,0.02607070162197548,0.007348601500948572,0.013789474547879274,0.03999477603138365,0.01569630168090756,0.004448679148481535,0.0323262240231829,0.028974980240954216,0.019768381260239533,0.01995453581854857,0.0286652533171857,0.0037361319330557513
KDE,1.0,1.0,200.0,400.0,0.09507330258687337,0.08290664354960124,0.1571337837837838,0.11291666666666667,0.5007215007215008,0.10746666666666667,0.06958333333333333,0.7533333333333333,0.12840857108434042,0.011698526175071796,0.00013860166412390149,4.078570721806803e-05,42.61626434326172,14.039859771728516,0.14154698451360068,0.10021626700957616,4.089184761047363,4.100910822550456,3.67280809879303,4.492199261983235,3.3964903024832407,3.381177226702372,2.7008975863456723,4.2326800346374505,1.2039342262019483,0.0,-0.057369605302810676,-0.05020749568939209,0.5864103062246405,0.5575060865589545,0.1229672908782959,0.06938417752583821,0.5222613599982927,0.510283581351528,-0.043697245518366505,0.018435103987700024,-0.2208102103074392,-0.1959672967592875,0.6256202010506969,0.59575762471106,-0.20058038155237834,-0.16624873876571655,0.6040052949160034,0.5849167535838384,-0.10215769330660503,0.0303578299542762,0.816496580927726,0.816496580927726,0.0,0.0,0.0206384948902737,0.03373525950289911,0.0014590217802918925,0.0015590239111558117,0.007357892516006875,0.0019115148152417942,0.0031180478223116165,0.018856180831641277,0.049614033652384294,0.005668189351834279,9.435974722251372e-05,2.8718880829320888e-05,0.44384054420265084,0.10828845132410672,0.0018703388738347533,0.0006497194504030876,0.0424470620069285,0.039474305121363386,0.01972679318474599,0.04534500395264116,0.02241150983781397,0.04653334948570114,0.011065354113441504,0.029279298686159184,0.008365718314787069,0.0,0.008841512071554342,0.009275472242502563,0.01971884046659551,0.011223782711936088,0.009318322608679723,0.0173730171322285,0.018368647266154916,0.017941759407063516,0.014892357259374257,0.005414681039261091,0.0998805810473715,0.09577643656973527,0.026451156788927642,0.02257253133412164,0.14928381337953933,0.09725011177191731,0.02901491897977621,0.04119293051194075,0.14100792258550723,0.026842454223266157
TabDDPM,1.0,1.0,200.0,400.0,52.4944748878479,0.2815109093983968,0.35585465465465466,0.35333333333333333,0.010101010101010102,0.23685,0.20750000000000002,0.10000000000000002,1.5182546377182007,0.20838778217633566,0.003495990764349699,0.001200862597518911,33.177459081014,12.214667956034342,0.11292725304762523,0.09021274745464325,4.0989391803741455,4.086789608001709,3.4722240209579467,4.808183598518371,3.3964903024832407,3.381177226702372,2.7008975863456723,4.2326800346374505,1.2067539547078683,0.0008333333333333334,-0.0367259422938029,-0.021360645691553753,0.5556803919007716,0.5455306875475566,0.15621854543685912,0.11473875244458516,0.5005576060753215,0.4967064044079382,-0.010445990959803262,-0.0032686499352711693,-0.3230146356423696,-0.17787088950475058,0.6208687749872398,0.6098690519415085,-0.33083179076512653,-0.16929163535435995,0.6150431497006875,0.6064707634400555,-0.23240910251935323,0.04139568473896038,0.816496580927726,0.816496580927726,0.0,0.0,7.084245415898398,0.004681686690118988,0.018911486085779725,0.01982562875561721,0.008162848844866349,0.006080433098609564,0.004677071733467419,0.03265986323710905,0.2779308729940382,0.03864523214203478,0.0007622801274821813,0.00023317762390408743,1.045142734816589,1.4609925956959027,0.004243453204720236,0.011138324996934179,0.13468327426512142,0.13384365226358122,0.0944247269635126,0.16024560865639745,0.02241150983781397,0.04653334948570114,0.011065354113441504,0.029279298686159184,0.03676305772025727,0.0011785113019775792,0.02458533768537339,0.05138488878221153,0.023121784249323325,0.02156416839676927,0.01848325372789472,0.04971993617958095,0.01985321961331545,0.015978969577707766,0.02182932149154687,0.005918323243787237,0.03827758918072243,0.05655595958534885,0.02354959014096093,0.009037540533978893,0.05017033906292709,0.11264445928109575,0.010366642421010496,0.007161058955212111,0.04116118370683136,0.008075451926393064
VAE,1.0,1.0,200.0,400.0,9.201634565989176,0.0029924710591634116,0.5695673173173174,0.5608333333333334,0.0,0.53795,0.5091666666666667,0.0,23.09190622965495,4.8021368980407715,0.06284040709336598,0.03193142202993234,152.44170125325522,76.22981770833333,0.5832207401593527,0.6409215728441874,2.484250863393148,2.477936029434204,2.3984424670537314,2.590998895963033,3.3964903024832407,3.381177226702372,2.7008975863456723,4.2326800346374505,0.7313352969482164,0.9941666666666666,-0.014881685177485149,-0.012322386105855307,0.575774972396935,0.5536256653911473,0.18359886368115744,0.122342715660731,0.4982262026542221,0.49269566479828747,0.016934327284495038,-0.005600053356370631,-0.648458913564682,-0.5210248629252116,0.7083140135852561,0.6862319514264449,-0.1491391666730245,-0.06997174024581909,0.5811745369682538,0.5676345617304509,-0.05071647842725119,0.007527072006526692,0.816496580927726,0.816496580927726,0.0,0.0,1.5898907623166958,0.0021576745323796426,0.004263471158628252,0.006640573937712152,0.0,0.009293815147720577,0.011242281302693379,0.0,0.4761061074337726,0.15376620684034584,0.0012618569108068078,0.0009526866398993357,6.2013940690041665,2.3833266190891296,0.030808026573757783,0.024271726112236162,0.06744113110000131,0.06813918869738614,0.053662488650105186,0.07824124673353898,0.02241150983781397,0.04653334948570114,0.011065354113441504,0.029279298686159184,0.015938237056038185,0.00424918292799398,0.005079714535523501,0.005405139164583711,0.018945467576572617,0.011995429962665926,0.00872005864085928,0.011935009284869928,0.018162274437378605,0.014063570388241145,0.01413832385060477,0.004431864122817733,0.09489764758905761,0.11937860836902607,0.01444202828228805,0.018849430519252457,0.15024138789259908,0.10492523242462236,0.017574872836692988,0.02009495813459628,0.14076086343191274,0.027738957854594612
