repeat,seed,synth,status,N_train,N_synth,fit_sec,model_path,sample_sec,ksX_ks_mean,ksX_ks_median,ksX_ks_p_pass_rate_0.05,ksY_ks_mean,ksY_ks_median,ksY_ks_p_pass_rate_0.05,pcd_xx_fro_pearson,pcd_xy_fro_pearson,pcd_xx_mean_abs_pearson,pcd_xy_mean_abs_pearson,pcd_xx_fro_spearman,pcd_xy_fro_spearman,pcd_xx_mean_abs_spearman,pcd_xy_mean_abs_spearman,dcr_syn_mean,dcr_syn_median,dcr_syn_q05,dcr_syn_q95,dcr_real_mean,dcr_real_median,dcr_real_q05,dcr_real_q95,dcr_ratio_mean,dcr_mem_rate_at_real_q05,tstr_GBDT_r2_mean,tstr_GBDT_r2_median,tstr_GBDT_rmse_mean,tstr_GBDT_rmse_median,aug_GBDT_r2_mean,aug_GBDT_r2_median,aug_GBDT_rmse_mean,aug_GBDT_rmse_median,aug_gain_GBDT_r2_mean,aug_gain_GBDT_rmse_mean,tstr_MLP_r2_mean,tstr_MLP_r2_median,tstr_MLP_rmse_mean,tstr_MLP_rmse_median,aug_MLP_r2_mean,aug_MLP_r2_median,aug_MLP_rmse_mean,aug_MLP_rmse_median,aug_gain_MLP_r2_mean,aug_gain_MLP_rmse_mean
0,0,Bootstrapping,ok,200,400,0.0,C:\Users\eys63\Desktop\맥주데이터실험\data\outputs\gpt\20260121_061755\repeat_00_seed_0\20260121_061755__Bootstrapping__model.pkl,0.0,0.05460585585585586,0.03875,0.9134199134199135,0.0463,0.04625,1.0,0.29669123888015747,0.025573188439011574,0.000531601719558239,0.00012857926776632667,10.261817932128906,5.0792131423950195,0.03570713847875595,0.03809427097439766,0.09227634221315384,0.07148366421461105,0.0,0.235846584290266,3.4246052861213685,3.4212576150894165,2.6979968786239623,4.269511079788208,0.026945103012918904,1.0,0.1168878448009491,0.11691519618034363,0.5185787202515054,0.5113852511149477,0.13344527363777162,0.10959306359291077,0.5141866260693344,0.5064790498117366,-0.04073307037353516,0.0012146005415701877,-0.38541919231414795,-0.20877236127853394,0.6473979387853928,0.6228018479506439,-0.20439449191093445,-0.1441807746887207,0.6246975263506923,0.5922182608684237,-0.10940510511398316,0.030076447873793155
0,0,KDE,ok,200,400,0.12296414375305176,C:\Users\eys63\Desktop\맥주데이터실험\data\outputs\gpt\20260121_061755\repeat_00_seed_0\20260121_061755__KDE__model.pkl,0.13055181503295898,0.15902027027027024,0.11125,0.5108225108225108,0.1053,0.06875,0.78,0.19835872948169708,0.01969398371875286,0.0002720184565987438,8.13953229226172e-05,42.588523864746094,14.028611183166504,0.14111189544200897,0.09981951862573624,4.111088275909424,4.120234489440918,3.687579393386841,4.522893261909485,3.4246052861213685,3.4212576150894165,2.6979968786239623,4.269511079788208,1.2004560912666085,0.0,-0.06760797023773193,-0.05992525815963745,0.60366041833459,0.5704958689868478,0.11222814679145814,0.060674428939819336,0.5385626888339046,0.5317472640217127,-0.06195019721984864,0.02559066330614035,-0.3043295574188232,-0.28786009550094604,0.6627577403080113,0.6148386070204256,-0.25052073001861574,-0.224118173122406,0.6389483227123445,0.6170197080106008,-0.15553134322166445,0.04432724423544532
0,0,GaussianCopula,ok,200,400,0.20187115669250488,C:\Users\eys63\Desktop\맥주데이터실험\data\outputs\gpt\20260121_061755\repeat_00_seed_0\20260121_061755__GaussianCopula__model.pkl,0.2317953109741211,0.05817567567567567,0.0425,0.9134199134199135,0.04420000000000001,0.0425,1.0,1.0176924467086792,0.03835529834032059,0.0007730986108072102,0.00021020385611336678,13.901206016540527,5.560483932495117,0.04771239310503006,0.04118672013282776,3.767904043197632,3.6934633255004883,3.072024369239807,4.695436787605285,3.4246052861213685,3.4212576150894165,2.6979968786239623,4.269511079788208,1.1002447664454713,0.0075,0.09396515250205993,0.04111722111701965,0.5409698279471611,0.5246972742875194,0.15006498336791993,0.09181708097457886,0.5159154267887518,0.4927815154131127,-0.024113360643386844,0.002943401260987577,-0.32793368220329283,-0.2399868369102478,0.6440064968362048,0.6211258827000816,-0.2338680386543274,-0.11416536569595337,0.6126986396021779,0.5882524131917014,-0.1388786518573761,0.018077561125278696
0,0,VAE,ok,200,400,10.891424417495728,C:\Users\eys63\Desktop\맥주데이터실험\data\outputs\gpt\20260121_061755\repeat_00_seed_0\20260121_061755__VAE__model.pt,0.00397181510925293,0.572972972972973,0.56875,0.0,0.5257,0.495,0.0,22.59191131591797,4.635244369506836,0.06260600686073303,0.031214812770485878,148.32943725585938,74.82268524169922,0.5652710199356079,0.6293966174125671,2.5353288650512695,2.529832363128662,2.438060796260834,2.6466848254203796,3.4246052861213685,3.4212576150894165,2.6979968786239623,4.269511079788208,0.7403273233634425,0.99,-0.020633556842803956,-0.019586682319641113,0.5923820812221442,0.5677008785952143,0.17466740250587465,0.11023819446563721,0.512094690640499,0.5102173627178822,0.0004890584945678733,-0.0008773348872652686,-0.520806473493576,-0.3522605299949646,0.697914315210613,0.6635746968504368,-0.1073628854751587,-0.013629257678985596,0.5896022152691325,0.5702797025806117,-0.012373498678207404,-0.005018863207766677
0,0,CTGAN,ok,200,400,193.8163764476776,C:\Users\eys63\Desktop\맥주데이터실험\data\outputs\gpt\20260121_061755\repeat_00_seed_0\20260121_061755__CTGAN__model.pkl,2.0884296894073486,0.35541666666666666,0.33,0.004329004329004329,0.332,0.32375,0.06,0.20369578897953033,0.024086231365799904,0.0003099455207120627,0.00011675157293211669,43.558841705322266,14.620006561279297,0.14481720328330994,0.10438324511051178,4.2196245193481445,4.218770980834961,3.8142956018447878,4.5846284866333,3.4246052861213685,3.4212576150894165,2.6979968786239623,4.269511079788208,1.2321491578744728,0.0,-0.44633450150489806,-0.31209439039230347,0.6946353500330357,0.6562931964769854,0.1355195486545563,0.08602526783943176,0.5283778999411871,0.5079649862986562,-0.038658795356750486,0.015405874413422893,-0.5943360841274261,-0.4905794858932495,0.7282674995726807,0.7013318026593498,-0.27584738612174986,-0.17600399255752563,0.6273498572917436,0.630329072057427,-0.18085799932479857,0.032728778814844484
0,0,TabDDPM,ok,200,400,62.191920042037964,C:\Users\eys63\Desktop\맥주데이터실험\data\outputs\gpt\20260121_061755\repeat_00_seed_0\20260121_061755__TabDDPM__model.pt,0.279644250869751,0.3810247747747748,0.38,0.004329004329004329,0.24330000000000002,0.2125,0.1,1.9106595516204834,0.26075857877731323,0.004573427140712738,0.0015211186837404966,34.074859619140625,13.748373985290527,0.11673175543546677,0.10204748064279556,4.252572059631348,4.227624416351318,3.54775230884552,5.021952486038207,3.4246052861213685,3.4212576150894165,2.6979968786239623,4.269511079788208,1.2417699864168796,0.0,-0.03685197949409485,0.0331973135471344,0.5645377007707811,0.5659407651133846,0.15244850873947144,0.07406094670295715,0.5127145337366429,0.5010490415826301,-0.021729835271835335,-0.0002574917911213337,-0.37699628353118897,-0.10721641778945923,0.643504792919072,0.6058166665616751,-0.33314680933952334,-0.04904121160507202,0.6288676296997836,0.6053193982992466,-0.23815742254257205,0.03424655122288445
1,1,Bootstrapping,ok,200,400,0.0,C:\Users\eys63\Desktop\맥주데이터실험\data\outputs\gpt\20260121_061755\repeat_01_seed_1\20260121_061755__Bootstrapping__model.pkl,0.0,0.04644444444444445,0.0375,0.948051948051948,0.050300000000000004,0.04625,1.0,0.11382096260786057,0.011822250671684742,0.00016254221554845572,4.022909342893399e-05,12.262654304504395,5.169958591461182,0.042998868972063065,0.03843127563595772,0.09889783710241318,0.10130090266466141,0.0,0.2398458123207092,3.36976101398468,3.315935254096985,2.715665316581726,4.230651140213011,0.0293486204784116,1.0,0.06762981057167053,-0.0038125813007354736,0.5305078546051554,0.5336834695873811,0.09136047840118408,0.06181305646896362,0.5207255667237232,0.5070249228773533,-0.0740320098400116,0.006317669434275586,-0.12031837582588195,-0.0617181658744812,0.5835424426592231,0.5833188877008488,-0.14161664843559266,-0.1678382158279419,0.5903889490121145,0.5907340128885141,-0.052724910974502576,0.015288971695580522
1,1,KDE,ok,200,400,0.07367825508117676,C:\Users\eys63\Desktop\맥주데이터실험\data\outputs\gpt\20260121_061755\repeat_01_seed_1\20260121_061755__KDE__model.pkl,0.05694985389709473,0.1554666666666667,0.1125,0.49783549783549785,0.10994999999999999,0.07375,0.74,0.09818322956562042,0.008197838440537453,6.952420517336577e-05,1.9928171241190284e-05,42.087074279785156,14.177751541137695,0.1395050436258316,0.10113237798213959,4.029830455780029,4.045891761779785,3.6449266910552978,4.428090977668762,3.36976101398468,3.315935254096985,2.715665316581726,4.230651140213011,1.1958801941902797,0.0,-0.05846656441688538,-0.05297917127609253,0.5967608721137863,0.5589111391362085,0.12172250032424926,0.05384337902069092,0.5316267114581791,0.5112710762009913,-0.043669987916946415,0.0172188141687315,-0.08039667367935181,-0.06384390592575073,0.6031658263671961,0.5640537438827034,0.0020353853702545165,-0.029264390468597412,0.5679048548162889,0.5267661490155193,0.0909271228313446,-0.00719512250024501
1,1,GaussianCopula,ok,200,400,0.14396190643310547,C:\Users\eys63\Desktop\맥주데이터실험\data\outputs\gpt\20260121_061755\repeat_01_seed_1\20260121_061755__GaussianCopula__model.pkl,0.14200043678283691,0.05241111111111111,0.0425,0.9437229437229437,0.0436,0.04125,1.0,0.5696803331375122,0.06492680311203003,0.0011775828897953033,0.0003585956583265215,12.940604209899902,5.54014253616333,0.04453042894601822,0.041329093277454376,3.732228994369507,3.731555461883545,3.0774667263031006,4.494282841682433,3.36976101398468,3.315935254096985,2.715665316581726,4.230651140213011,1.1075648922518417,0.005,0.09220080852508544,0.037227123975753784,0.5393232618267031,0.49994783724585523,0.1750456917285919,0.14197614789009094,0.5079212657140518,0.47987602902686805,0.009653203487396234,-0.0064866315753957515,-0.3080909049510956,-0.14283591508865356,0.637687651713772,0.6102849227354539,-0.1575669503211975,-0.04328203201293945,0.5984940370609769,0.6131702420721625,-0.06867521286010742,0.023394059744442974
1,1,VAE,ok,200,400,9.641296625137329,C:\Users\eys63\Desktop\맥주데이터실험\data\outputs\gpt\20260121_061755\repeat_01_seed_1\20260121_061755__VAE__model.pt,0.0,0.5635555555555555,0.5525,0.0,0.53995,0.51,0.0,23.732440948486328,5.006315231323242,0.06448967009782791,0.03327779099345207,161.2062530517578,79.58580780029297,0.6265766620635986,0.6746850609779358,2.3889570236206055,2.3816707134246826,2.322577214241028,2.480349850654602,3.36976101398468,3.315935254096985,2.715665316581726,4.230651140213011,0.7089395994866113,1.0,-0.015732977390289307,-0.010750770568847656,0.5856799067984301,0.5547887776557059,0.18070043206214906,0.11820787191390991,0.5100149685643778,0.4920845762403898,0.015307943820953379,-0.0043929287250698,-0.6764105439186097,-0.6014285683631897,0.7287369694412885,0.7097235618049025,0.010388237237930299,0.020739734172821045,0.5567111321019389,0.5418076358545763,0.09927997469902038,-0.01838884521459505
