feature,ks_stat,p_value
A_malt_all,0.5,9.052730306573787e-31
A_malt_grain,0.5325,4.403164753757403e-35
A_malt_bread,0.5525,6.590830573402916e-38
A_malt_cara,0.555,2.86041310015717e-38
A_malt_burn,0.595,2.299380579097812e-44
A_hops_all,0.4725,2.230110088045613e-27
A_hops_citrus,0.495,3.8967715307051046e-30
A_hops_tropical,0.5625,2.270603854108765e-39
A_hops_noble,0.4675,8.715851441599907e-27
A_hops_woody,0.5525,6.590830573402916e-38
A_esters_all,0.4875,3.365860681861523e-29
A_esters_ethac,0.435,4.0569152225584435e-23
A_esters_isoaa,0.465,1.7119792239056996e-26
A_esters_flower,0.4925,8.030852946398541e-30
A_esters_fruity,0.485,6.845210352961305e-29
F_malt_all,0.51,4.6290512300500326e-32
F_malt_grain,0.5175,4.745692814799091e-33
F_malt_bread,0.5075,9.800781310234099e-32
F_malt_cara,0.535,1.9856421117503146e-35
F_malt_burn,0.5925,5.743520943967481e-44
F_hops_all,0.515,1.0186351259442479e-32
F_hops_citrus,0.4925,8.030852946398541e-30
F_hops_tropical,0.595,2.299380579097812e-44
F_hops_noble,0.51,4.6290512300500326e-32
F_hops_woody,0.5875,3.5279520042640636e-43
F_esters_all,0.505,2.0656665919314487e-31
F_esters_ethac,0.46,6.520765629420035e-26
F_esters_isoaa,0.4475,1.7140653236337424e-24
F_esters_flower,0.5175,4.745692814799091e-33
F_esters_fruity,0.5075,9.800781310234099e-32
acidity,0.615,1.2534757390998926e-47
bitternes,0.4675,8.715851441599907e-27
sweetness,0.5225,1.0159216354079957e-33
X4vg,0.51,4.6290512300500326e-32
diacetyl,0.5325,4.403164753757403e-35
dms,0.485,6.845210352961305e-29
metallic,0.4725,2.230110088045613e-27
stale_hops,0.5725,7.227566310950645e-41
t2n,0.5075,9.800781310234099e-32
orange,0.6625,5.32662460110215e-56
coriander,0.7825,9.895367306547117e-82
clove,0.73,1.4247853880211407e-69
lactic,0.78,4.08075520108458e-81
acetic,0.825,7.92460811104757e-93
barnyard,0.6025,1.4295413865880934e-45
alcohol,0.46,6.520765629420035e-26
aftertaste,0.4825,1.3860159973692675e-28
body,0.4975,1.882405282687646e-30
co2,0.495,3.8967715307051046e-30
overall,0.545,7.831498013049587e-37
