descriptor,r2,rmse
A_malt_all,0.2715480923652649,0.7526213216091424
A_malt_grain,-0.029444098472595215,0.5591015141852965
A_malt_bread,0.09918212890625,0.4491652083623895
A_malt_cara,-0.001681208610534668,0.6985746219194539
A_malt_burn,0.23075157403945923,0.8132726590071999
A_hops_all,-0.661423921585083,0.7571359741085726
A_hops_citrus,-0.5965690612792969,0.6833935253645983
A_hops_tropical,-1.8293135166168213,0.6490703390177953
A_hops_noble,-0.5913803577423096,0.6549054404427239
A_hops_woody,0.05646699666976929,0.38100956620824916
A_esters_all,0.01236790418624878,0.6663701296964497
A_esters_ethac,-0.43270695209503174,0.5926858752464834
A_esters_isoaa,-0.18715417385101318,0.585555193474883
A_esters_flower,0.1885080337524414,0.3896446323447993
A_esters_fruity,0.03543901443481445,0.5641662502240326
F_malt_all,0.3227173089981079,0.6480638967420441
F_malt_grain,-0.22069692611694336,0.5132184366144987
F_malt_bread,-0.24246656894683838,0.4732811949897701
F_malt_cara,-0.2213658094406128,0.6018233043537903
F_malt_burn,0.24865901470184326,0.7572407876351973
F_hops_all,-0.36342012882232666,0.7388053527336583
F_hops_citrus,-0.6599819660186768,0.5236977741450554
F_hops_tropical,-1.5656406879425049,0.5851606177866027
F_hops_noble,-0.8233709335327148,0.6892403768753873
F_hops_woody,0.15696686506271362,0.48413113638773275
F_esters_all,-0.3790096044540405,0.7097964509474874
F_esters_ethac,-0.6454916000366211,0.5876191738678084
F_esters_isoaa,-0.10643208026885986,0.6566463363553391
F_esters_flower,0.02088606357574463,0.36593933205997003
F_esters_fruity,-0.0141676664352417,0.5546800317395842
acidity,0.636725902557373,0.5711605351297696
bitternes,0.24974548816680908,0.6001805371626718
sweetness,-0.21556973457336426,0.7164918837956107
X4vg,0.10762578248977661,0.7842257475479019
diacetyl,-0.04509091377258301,0.6431801709087537
dms,-0.031095027923583984,0.4835771018569044
metallic,0.11199069023132324,0.48525484222794746
stale_hops,0.0104600191116333,0.39366540227081864
t2n,0.06062847375869751,0.42533464369913326
orange,0.24549990892410278,0.7643928734100311
coriander,0.03234052658081055,0.33805002190342
clove,0.1215173602104187,0.3399341397274556
lactic,0.48654407262802124,0.5881005352822151
acetic,0.6893668174743652,0.37669102544987715
barnyard,0.025069594383239746,0.3928916210830207
alcohol,0.30834126472473145,0.5774002687615462
aftertaste,0.3741025924682617,0.5186210920269833
body,0.5624003410339355,0.41075834858327887
co2,-0.0020104646682739258,0.624278295586836
overall,-0.24495530128479004,0.6347933249665265
