pc,explained_variance_ratio,cumulative_evr
1,0.13961256575303674,0.13961256575303674
2,0.07891593068380605,0.2185284964368428
3,0.05592563439814598,0.27445413083498876
4,0.04536737641780851,0.3198215072527973
5,0.03969498044763075,0.35951648770042804
6,0.03078877420759712,0.39030526190802517
7,0.03000487336277374,0.4203101352707989
8,0.025323214051820222,0.4456333493226191
9,0.020872632886447084,0.4665059822090662
10,0.01986113476002783,0.486367116969094
11,0.01719661242952446,0.5035637293986185
12,0.014800442121487262,0.5183641715201057
13,0.014587088124559507,0.5329512596446653
14,0.013640905732947649,0.5465921653776129
15,0.011965914130756261,0.5585580795083691
16,0.011736680906489515,0.5702947604148586
17,0.011396228600161502,0.5816909890150201
18,0.011189135120833702,0.5928801241358539
19,0.010777995319063443,0.6036581194549173
20,0.01029422304007189,0.6139523424949892
21,0.009884646134483002,0.6238369886294722
22,0.009504217374492007,0.6333412060039643
23,0.00867282322785064,0.6420140292318149
24,0.008643148908095323,0.6506571781399103
25,0.008268595111979771,0.6589257732518901
26,0.008184270358979066,0.6671100436108691
27,0.007941350478074162,0.6750513940889433
28,0.007847154890905336,0.6828985489798487
29,0.0074143576693113285,0.69031290664916
30,0.007364852844005427,0.6976777594931655
31,0.007073684435348334,0.7047514439285137
32,0.006693246407098685,0.7114446903356124
33,0.0064411087523519,0.7178857990879643
34,0.006402582430013392,0.7242883815179777
35,0.006200154874233327,0.730488536392211
36,0.006099844708765566,0.7365883811009766
37,0.005856877451045793,0.7424452585520224
38,0.00572451515022954,0.7481697737022519
39,0.005625353060057341,0.7537951267623092
40,0.005515964072828925,0.7593110908351381
41,0.005395080675164542,0.7647061715103027
42,0.005273290580333238,0.769979462090636
43,0.005219484619593921,0.7751989467102298
44,0.004974242381318231,0.7801731890915481
45,0.0048630625704316486,0.7850362516619798
46,0.004789327280865519,0.7898255789428453
47,0.004672734006107701,0.794498312948953
48,0.0045548883020367055,0.7990532012509897
49,0.004471503767950162,0.8035247050189398
50,0.0044040147995527724,0.8079287198184926
51,0.004288872955388006,0.8122175927738806
52,0.004151105935289586,0.8163686987091702
53,0.004129251162861553,0.8204979498720317
54,0.0040114356797713475,0.8245093855518031
55,0.00391167449296228,0.8284210600447653
56,0.0038148018923085327,0.8322358619370739
57,0.0037962833699456758,0.8360321453070195
58,0.003668574948558698,0.8397007202555782
59,0.0036278564776117657,0.84332857673319
60,0.00348588583569854,0.8468144625688885
61,0.0034417446809244996,0.850256207249813
62,0.0034073897939098,0.8536635970437227
63,0.003331030184720432,0.8569946272284432
64,0.0032621551362512,0.8602567823646944
65,0.0031808051231584423,0.8634375874878528
66,0.0030960613751229897,0.8665336488629758
67,0.0030470995011238865,0.8695807483640997
68,0.0029874496155245095,0.8725681979796243
69,0.0029287706206082235,0.8754969686002325
70,0.002890108839554091,0.8783870774397866
71,0.0028719222350190765,0.8812589996748057
72,0.002769586763499615,0.8840285864383053
73,0.0027431736057198244,0.8867717600440251
74,0.0026513969229981053,0.8894231569670232
75,0.002603861161630944,0.8920270181286541
76,0.002545026705395789,0.89457204483405
77,0.0025140897766855017,0.8970861346107355
78,0.002462965680072668,0.8995491002908081
79,0.0024276936205267865,0.9019767939113349
80,0.002387934155083391,0.9043647280664183
81,0.0023450139726485858,0.906709742039067
82,0.0023385909712987877,0.9090483330103657
83,0.0022420653926939825,0.9112903984030597
84,0.0022222554417558452,0.9135126538448155
85,0.002185242928433023,0.9156978967732485
86,0.0021254521635162673,0.9178233489367648
87,0.0020981527130228363,0.9199215016497876
88,0.002073582265358967,0.9219950839151465
89,0.002050729642241801,0.9240458135573884
90,0.001978307862652783,0.9260241214200411
91,0.0019503539668617332,0.9279744753869028
92,0.0019157495244255672,0.9298902249113283
93,0.0018896014120754704,0.9317798263234038
94,0.0018215725819823994,0.9336013989053862
95,0.0017690976530897757,0.9353704965584759
96,0.0017322879622721143,0.937102784520748
97,0.0016761418606494828,0.9387789263813975
98,0.0016357927780542253,0.9404147191594517
99,0.0016059686759961357,0.9420206878354479
100,0.0015743034125642594,0.9435949912480122
101,0.0015285464511734313,0.9451235376991856
102,0.0014869324244708218,0.9466104701236564
103,0.001472323929856821,0.9480827940535133
104,0.0014555052616891555,0.9495382993152024
105,0.0014275298841981078,0.9509658291994005
106,0.0014109216696481354,0.9523767508690487
107,0.0013633035648564999,0.9537400544339052
108,0.0013443525984719,0.9550844070323771
109,0.001316907276794706,0.9564013143091717
110,0.0013065703044627054,0.9577078846136344
111,0.0012562735947263604,0.9589641582083608
112,0.001227944564362227,0.960192102772723
113,0.0011786270927401296,0.9613707298654631
114,0.0011631985627696467,0.9625339284282328
115,0.00112029447084915,0.963654222899082
116,0.0011140416583000322,0.964768264557382
117,0.001089852807304932,0.9658581173646869
118,0.0010683052512450804,0.966926422615932
119,0.0010249454362258642,0.9679513680521579
120,0.0010074799390012575,0.9689588479911592
121,0.0009733462987204144,0.9699321942898795
122,0.0009621750130602185,0.9708943693029397
123,0.0009270360951933472,0.9718214053981331
124,0.000883519902407444,0.9727049253005405
125,0.0008671194542781685,0.9735720447548187
126,0.0008646902729005706,0.9744367350277193
127,0.0008253653489354747,0.9752621003766548
128,0.0008180625611266208,0.9760801629377814
129,0.0008003590841963692,0.9768805220219778
130,0.0007766650174931958,0.977657187039471
131,0.000756414768596333,0.9784136018080674
132,0.0007333605772322122,0.9791469623852995
133,0.0007176586942103531,0.9798646210795099
134,0.0006918977998801833,0.9805565188793901
135,0.0006628049952938304,0.9812193238746839
136,0.0006601859888555725,0.9818795098635394
137,0.000639295884497338,0.9825188057480367
138,0.000621342776247673,0.9831401485242844
139,0.000606921130425475,0.9837470696547099
140,0.0005802907923958945,0.9843273604471058
141,0.0005691170358159486,0.9848964774829218
142,0.0005470963956629813,0.9854435738785847
143,0.0005379131664604179,0.9859814870450452
144,0.0005305084453427934,0.9865119954903879
145,0.0005200118361999652,0.9870320073265879
146,0.0005054893107724426,0.9875374966373603
147,0.0005003925441562197,0.9880378891815166
148,0.0004687846767362181,0.9885066738582527
149,0.0004549267982436217,0.9889616006564964
150,0.00044666383768435773,0.9894082644941807
151,0.0004187387549687059,0.9898270032491494
152,0.0004118360547749396,0.9902388393039243
153,0.00038713949288379383,0.9906259787968081
154,0.00038187553532593874,0.9910078543321341
155,0.0003699405032111713,0.9913777948353453
156,0.00035737751827014385,0.9917351723536154
157,0.0003492936819437096,0.9920844660355591
158,0.0003467036675645021,0.9924311697031236
159,0.00032658066514443517,0.9927577503682681
160,0.0003243016705992458,0.9930820520388673
161,0.0003097905959559041,0.9933918426348233
162,0.0003014989776538152,0.9936933416124771
163,0.00029430617049259176,0.9939876477829698
164,0.000288280455380556,0.9942759282383503
165,0.0002731778776136896,0.994549106115964
166,0.000263665922089437,0.9948127720380535
167,0.00025566546551153175,0.995068437503565
168,0.00025090599326113355,0.9953193434968262
169,0.000232927225838548,0.9955522707226647
